Year,Film,Song,Music Director,Co-Singer
1974,Kunjikkaikal,Kunnimanikkunje,K. K. Antony,
1977,Aval Oru Devaalayam,Dukhathin Mezhuthiri,M. K. Arjunan,L. R. Anjali
1977,Aval Oru Devaalayam,Naarayanakkili,M. K. Arjunan,P. Susheela
1977,Harshabaashpam,Ekaadashi Dinamunarnnu,M. K. Arjunan,
1977,Aasheervaadam,Vayaru Vishakkunnu,M. K. Arjunan,
1977,Vezhambal ( Ahalyamoksham ),Thiruvaakacharthinu,M. K. Arjunan,
1977,Oru Jaathi Oru Matham,Maangalyam Chaarthiya,Kannur Rajan,K. J. Yesudas
1983,Veenapoovu,Swapnamkondu Thulaabhaaram,Vidyadharan,
1983,Veenapoovu,Kannimaasathil,Vidyadharan,K. J. Yesudas
1983,Eettillam,Raaraatti Raaraatti,A. T. Ummer,
1983,Visa,Thaleeppeelikkaattinulliloru,Jithin Shyam,K. J. Yesudas
1984,Mounam Sammatham,Shyaamam Sundaram,,K. G. Markose
1985,Enikkum Enikkum idaykku,Thumbappoo,M. G. Radhakrishnan,
1985,Mizhiyezhuthiya kaavyam,Oru Pallavi Paadaamo,Prasad EP,Gopan
1985,Mizhiyezhuthiya kaavyam,Raajakkuyile Neeyarinjo,Prasad EP,
1985,Mizhiyezhuthiya kaavyam,Thenoorum Mohavum,Prasad EP,
1985,Kothi Theerumvare,Aakaasha Gangayil,Kodakara Madhavan,K. J. Yesudas
1986,Pappan Priyappetta Pappan,Puthan Manavaatti,Alleppey Ranganath,Sindhu Devi
1987,Aankiliyude Tharattu,Go Back,Shyam,
1987,Maharshi,Naadodi Sheelum,Berny Ignatius,Unni Menon
