Medal,Name,Sport,Event
Gold,"Reanchai Seerhawong , Vissanu Sophanich , Ekkachai Janthana , Sittichai Suwonprateep",Athletics,Men - 4 × 100 m relay
Gold,Somjit Jongjohor,Boxing,Flyweight
Gold,Praprut Chaithanasakun,Cue sports,English billiards singles
Gold,"Praprut Chaithanasakun , Mongkhon Kanfaklang",Cue sports,English billiards doubles
Gold,Pongsiree Bunluewong,Equestrian,Eventing Individual
Gold,"Suebsak Phunsueb , Sarawut Inlek , Pornchai Kaokaew , Worapot Thongsai , Poonsak Permsap",Sepaktakraw,Men 's regu
Gold,,Sepaktakraw,Men 's team
Gold,,Sepaktakraw,Women 's team
Gold,"Nitinadda Kaewkamsai , Kanjana Yanyajan , Tidawan Daosakul , Pinporn Klongbungkar , Sahattiya Faksra",Sepaktakraw,Women 's regu
Gold,"Lampieng Poompin , Buaphan Sawatdipon , Wanwipa Seelahoi , Kobkul Chinchaiyaphum , Buarian Faisong , Warn Sochaiyan",Sepaktakraw,Women 's circle
Gold,Opas Ruengpanyawoodhi,Shooting,Men - Rapid Fire Pistol 25 Metres
Gold,Paradorn Srichaphan,Tennis,Men 's Singles
Gold,Sanchai Chomphuphuang,Wushu,Men 's Sanshou 56 kg
Gold,Angkarn Chomphuphuang,Wushu,Men 's Sanshou 65 kg
