Season,Event type,Location,Format,Date,Rank
2007,Grand Prix,Kyoto,Standard,17-18 March 2007,1
2008,Nationals,Yokohama,Standard and Booster Draft,19-21 September 2008,3
2008,Worlds,"Memphis , Tennessee",National team,11-14 December 2008,4
2009,Grand Prix,Kobe,Extended,18-19 April 2009,2
2009,Nationals,Hiroshima,Standard and Booster Draft,18-20 July 2009,2
2009,Grand Prix,Bangkok,Sealed and Booster Draft,22-23 August 2009,6
2009,Grand Prix,"Niigata , Niigata",Sealed and Booster Draft,29-30 August 2009,8
2009,Grand Prix,Prague,Sealed and Booster Draft,5-6 September 2009,2
2009,Grand Prix,Melbourne,Sealed and Booster Draft,10-11 October 2009,1
2009,Pro Tour,"Austin , Texas",Extended and Booster Draft,16-18 October 2009,6
2009,Grand Prix,Kitakyushu,Sealed and Booster Draft,31 October-1 November 2009,5
2010,Grand Prix,Sendai,Standard,5-6 June 2010,6
2010,Grand Prix,Manila,Standard,12-13 June 2010,4
2010,Grand Prix,Sydney,Sealed and Booster Draft,9-10 October 2010,5
2011,Grand Prix,"Kansas City , Missouri",Sealed and Booster Draft,18-19 June 2011,2
2011,Grand Prix,Shanghai,Sealed and Booster Draft,20-21 August 2011,1
2011,Grand Prix,Pittsburgh,Standard,27-28 August 2011,1
2012,Grand Prix,Kobe,Sealed and Booster Draft,18-19 February 2012,7
2012,Grand Prix,Kuala Lumpur,Standard,24-25 March 2012,1
2012-13,Grand Prix,Manila,Standard,16-17 June 2012,1
