Date,Co-hosts,Guests/segments
March 1,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Melina Kanakaredes , Jimmy Kimmel , Brian McKnight"
March 2,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Anthony LaPaglia , Bo Bice , Sasha Cohen , a visit to the set of CSI : Crime Scene Investigation"
March 3,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Raven-Symoné , William H. Macy , Behind the Scenes with Kobe Bryant and other Los Angeles Lakers"
March 6,Regis Philbin & Kelly Ripa,"Bill Paxton , an Oscar recap by Claudia Cohen"
March 7,Regis Philbin & Kelly Ripa,"Jo Frost , Dennis Haysbert , Ne-Yo"
March 8,Regis Philbin & Kelly Ripa,"Matthew McConaughey , Gretchen Wilson"
March 9,Regis Philbin & Kelly Ripa,"Salma Hayek , Bradley Cooper"
March 10,Regis Philbin & Kelly Ripa,"Kristin Davis , Idina Menzel"
March 13,Regis Philbin & Kelly Ripa,"Julia Louis-Dreyfus , Ashley Parker Angel"
March 14,Regis Philbin & Kelly Ripa,"Pat Sajak , Carrie Underwood"
March 15,Regis Philbin & Kelly Ripa,Ice-T
March 16,Regis Philbin & Kelly Ripa,"Vin Diesel , Ludacris , A report from the American International Toy Fair"
March 17,Regis Philbin & Kelly Ripa,Celtic Woman
March 20,Regis Philbin & Joy Philbin,"Wentworth Miller , Clive Owen , Chris Brown"
March 21,Regis Philbin & Joy Philbin,"Michael Chiklis , Denzel Washington"
March 22,Regis Philbin & Joy Philbin,"Dominic Chianese , Kurt Busch"
March 23,Regis Philbin & Lisa Rinna,"Frankie Muniz , Cascada"
March 24,Regis Philbin & Wendie Malick,"Jamie-Lynn Sigler , animal expert Peter Gros , a segment on Consumer Reports ' Oyster Awards for packaging that is difficult to open"
March 27,Regis Philbin & Kelly Ripa,"Shakira & Wyclef Jean , Chris Kattan , Larry the Cable Guy"
March 28,Regis Philbin & Kelly Ripa,"Ray Romano , psychic Char Margolis"
