Nation,Coach,Notable players,RLIF Rank ( Jul 2018 )
Greece,Steve Georgallis,"Stefanos Bastas , Michael Korkidas , Jordan Meads",26
Hong Kong,Jason Fairleigh,-,45
Hungary,Jonathan Wilson,Stuart Flanagan,21
Japan,Viliami Ahosivi,Gehamat Shibasaki,41
Malta,Peter Cassar & Aaron McDonald,"Tyler Cassel , Jarrod Sammut , Sam Stone",18
Niue,Brendan Bman Perenara,"Zebastian Lucky Luisi , Eddie Paea , Sione Tovo",34
Philippines,Arwin Marcus,"Shane Gray , Payne Haas ( ) , Paul Sheedy",27
Poland,Lee Addison,Harry Siejka,-
Solomon Islands,John Jewiss & Luke Heckendorf,-,42
Turkey,Scott Hartas,"Emre Guler , Aidan Sezer , Jansin Turgut",-
Vanuatu,Lionel Harbin,Alehana Mara,36
