Team,No,Years
Al-Hilal,10,"1986 , 1987 , 1991 , 1997-98 , 1999-2000 , 2010 , 2014 , 2015 , 2017 , 2019"
Esteghlal,7,"1970 , 1971 , 1990-91 , 1991 , 1998-99 , 2001-02 , 2013"
Seongnam FC,6,"1994-95 , 1995 , 1996-97 , 2004 , 2007 , 2010"
Persepolis,6,"1996-97 , 1997-98 , 1999-2000 , 2000-01 , 2017 , 2018"
Al-Ittihad,5,"2004 , 2005 , 2009 , 2011 , 2012"
Al-Ain,5,"1998-99 , 2002-03 , 2005 , 2014 , 2016"
Suwon Samsung Bluewings,5,"1999-2000 , 2000-01 , 2001-02 , 2011 , 2018"
Liaoning Whowin,4,"1986 , 1989-90 , 1990-91 , 1993-94"
Jeonbuk Hyundai Motors,4,"2004 , 2006 , 2011 , 2016"
FC Seoul,4,"2001-02 , 2013 , 2014 , 2016"
Urawa Red Diamonds,4,"2007 , 2008 , 2017 , 2019"
Al-Sadd,4,"1988-89 , 2011 , 2018 , 2019"
Tokyo Verdy,3,"1987 , 1992-93 , 1993-94"
Thai Farmers Bank,3,"1993-94 , 1994-95 , 1995"
Júbilo Iwata,3,"1998-99 , 1999-2000 , 2000-01"
Dalian Shide,3,"1997-98 , 1998-99 , 2002-03"
Pohang Steelers,3,"1996-97 , 1997-98 , 2009"
Guangzhou Evergrande,3,"2013 , 2015 , 2019"
Hapoel Tel Aviv,2,"1967 , 1970"
Maccabi Tel Aviv,2,"1969 , 1971"
