Medal,Name,Games,Sport,Event
Bronze,Durward Knowles Sloane Farrington,1956 Melbourne,Sailing,Star class
Gold,Durward Knowles Cecil Cooke,1964 Tokyo,Sailing,Star class
Bronze,Frank Rutherford,1992 Barcelona,Athletics,Men 's triple jump
Silver,Debbie Ferguson Eldece Clarke-Lewis Chandra Sturrup Savatheda Fynes Pauline Davis-Thompson,1996 Atlanta,Athletics,Women 's 4 × 100 metres relay
Gold,Savatheda Fynes Chandra Sturrup Pauline Davis-Thompson Debbie Ferguson Eldece Clarke-Lewis,2000 Sydney,Athletics,Women 's 4 × 100 metres relay
Gold,Pauline Davis-Thompson,2000 Sydney,Athletics,Women 's 200 metres
Bronze,Avard Moncur Troy McIntosh Carl Oliver Chris Brown Timothy Munnings,2000 Sydney,Athletics,Men 's 4 × 400 metres relay
Gold,Tonique Williams-Darling,2004 Athens,Athletics,Women 's 400 metres
Bronze,Debbie Ferguson,2004 Athens,Athletics,Women 's 200 metres
Silver,Andretti Bain Michael Mathieu Andrae Williams Chris Brown,2008 Beijing,Athletics,Men 's 4 × 400 metres relay
Bronze,Leevan Sands,2008 Beijing,Athletics,Men 's triple jump
Gold,Michael Mathieu Ramon Miller Chris Brown Demetrius Pinder,2012 London,Athletics,Men 's 4 × 400 metres relay
Gold,Shaunae Miller,2016 Rio de Janeiro,Athletics,Women 's 400 metres
Bronze,Michael Mathieu Alonzo Russell Chris Brown Steven Gardiner Stephen Newbold,2016 Rio de Janeiro,Athletics,Men 's 4 × 400 metres relay
