Year,Winner,Date,Location
2002,Último Vampiro,"June 9 , 2002","Naucalpan , State of Mexico , Mexico"
2003,Unknown,2003,"Naucalpan , State of Mexico , Mexico"
2004,Fantasy,"March 18 , 2004","Naucalpan , State of Mexico , Mexico"
2005,Cerebro Negro,"November 17 , 2005","Naucalpan , State of Mexico , Mexico"
2006,Cerebro Negro,2006,"Naucalpan , State of Mexico , Mexico"
2007,Yamato,"July 26 , 2007","Naucalpan , State of Mexico , Mexico"
2008,"Scorpio , Jr","July 24 , 2008","Naucalpan , State of Mexico , Mexico"
2009,Ricky Cruzz,"July 16 , 2009","Naucalpan , State of Mexico , Mexico"
2010,N/A,N/A,N/A
2011,El Pantera,"June 16 , 2011","Naucalpan , State of Mexico , Mexico"
2012,Oficial Factor,"May 31 , 2012","Naucalpan , State of Mexico , Mexico"
2013,Oficial 911,"May 19 , 2013","Naucalpan , State of Mexico , Mexico"
2014,Hijo de Máscara Año 2000,"May 4 , 2014","Naucalpan , State of Mexico , Mexico"
2015,Ricky Cruz,"April 5 , 2015","Naucalpan , State of Mexico , Mexico"
2016,Máscara Año 2000 Jr,"December 11 , 2016","Naucalpan , State of Mexico , Mexico"
2017,Imposible,"May 14 , 2017","Naucalpan , State of Mexico , Mexico"
2018,Emperador Azteca,"May 20 , 2018","Naucalpan , State of Mexico , Mexico"
