Year,Title,Role
1970,The Magic Garden of Stanley Sweetheart,Stanley Sweetheart
1971,Zachariah,Matthew
1973,The Harrad Experiment,Stanley Cole
1974,"Lollipops , Roses and Talangka",Franky
1975,A Boy and His Dog,Vic
1975,Return to Macon County,Harley McKay
1981,Swan Lake,Benno ( voice )
1981,"Soggy Bottom , U.S.A",Jacob Gorch
1982,Melanie,Carl
1982,Aladdin and the Wonderful Lamp,Wazir 's Son ( voice )
1985,Cease Fire,Tim Murphy
1987,G.I . Joe : The Movie,Lieutenant Vincent R. Falcone/Lt . Falcon ( voice )
1988,Sweet Hearts Dance,Wiley Boon
1989,Dead Bang,Jerry Beck
1990,The Hot Spot,Harry Madox
1991,Harley Davidson and the Marlboro Man,Robert Anderson/The Marlboro Man
1991,Paradise,Ben Reed
1993,Born Yesterday,Paul Verrall
1993,Guilty as Sin,David Edgar Greenhill
1996,Tin Cup,David Simms
