Frequency,Call sign,Branding,Format,Owner
AM 660,CFFR,660 News,news,Rogers Media
AM 700,CJLI,AM 700 The Light,Christian music and talk,Touch Canada Broadcasting
AM 770,CHQR,AM 770,talk radio,Corus Entertainment
AM 910,CKDQ,Q91,country music,Newcap Broadcasting
AM 960,CFAC,Sportsnet Radio Fan 960,sports,Rogers Media
AM 1010,CBR,CBC Radio One,news / talk,Canadian Broadcasting Corporation
AM 1060,CKMX,Funny 1060,comedy,Bell Media
AM 1140,CHRB,AM 1140,news / sports and community,Golden West Broadcasting
FM 88.1,CKAV-FM-3,Aboriginal Voices,First Nations,Aboriginal Voices Radio
FM 88.9,CJSI-FM,Shine FM,Christian music,Touch Canada Broadcasting
FM 89.7,CBCX-FM,Ici Musique,public music,Canadian Broadcasting Corporation
FM 90.3,CKMP-FM,Amp Radio 90.3,contemporary hit radio,Newcap Broadcasting
FM 90.9,CJSW-FM,CJSW 90.9,campus radio,University of Calgary
FM 92.1,CJAY-FM,CJAY92,active rock,Bell Media
FM 92.9,CFEX-FM,X92.9,modern rock,Harvard Broadcasting
FM 93.7,CKUA-FM-1,CKUA Radio Network,public broadcasting,CKUA Radio Foundation
FM 94.7,CHKF-FM,FM 94.7,Asian Canadian community,Fairchild Media Group
FM 95.3,CHPK-FM,Wild 95.3,Country,Jim Pattison Group
FM 95.9,CHFM-FM,95.9 CHFM,adult contemporary,Rogers Media
FM 96.9,CJAQ-FM,Jack FM,adult hits,Rogers Media
