Release date,Title,Notes
"February 12 , 2010",Valentine 's Day,
"April 30 , 2010",A Nightmare on Elm Street,co-production with Platinum Dunes
"May 27 , 2010",Sex and the City 2,co-production with Village Roadshow Pictures and HBO Films
"September 3 , 2010",Going the Distance,
"January 28 , 2011",The Rite,co-production with TriBeCa Productions
"February 25 , 2011",Hall Pass,co-production with Condurum Entertainment
"July 8 , 2011",Horrible Bosses,co-production with Rat Entertainment
"August 12 , 2011",Final Destination 5,co-production with Practical Pictures and Zide/Perry Productions
"November 4 , 2011",A Very Harold & Kumar 3D Christmas,co-production with Kingsgate Films and Mandate Pictures
"December 9 , 2011",New Year 's Eve,co-production with Wayne Rice Films and Karz Entertainment
"February 10 , 2012",Journey 2 : The Mysterious Island,co-production with Walden Media and Contrafilm
"June 15 , 2012",Rock of Ages,co-production with Offspring Entertainment and Maguire Entertainment
"December 14 , 2012",The Hobbit : An Unexpected Journey,co-production with Metro-Goldwyn-Mayer and WingNut Films
"February 27 , 2013",Caught Stealing,
"March 1 , 2013",Jack the Giant Slayer,"co-production with Legendary Pictures , Original Film , Big Kid Pictures and Bad Hat Harry"
"March 15 , 2013",The Incredible Burt Wonderstone,co-production with Benderspink and Carousel Productions
"July 19 , 2013",The Conjuring,co-production with The Safran Company and Evergreen Media Group
"August 9 , 2013",We 're the Millers,"co-production with Newman/Tooley Productions , Slap Happy Productions , Heyday Films , and Benderspink"
"December 13 , 2013",The Hobbit : The Desolation of Smaug,co-production with Metro-Goldwyn-Mayer and WingNut Films
"December 25 , 2013",The Secret Life of Walter Mitty,"studio credit only ; co-production with 20th Century Fox , Samuel Goldwyn Films , Red Hour Films , and TSG Entertainment"
