Year,Song,Artist,Album
1986,Eric B . Is President,Eric B . & Rakim,Paid in Full
1986,My Melody,Eric B . & Rakim,Paid in Full
1987,Doctorin ' the House,Coldcut,What 's That Noise ?
1987,Dana Dane Is Coming to Town,Dana Dane,Christmas Rap
1987,Living in the World of Hip-Hop,MC Shan,Down by Law
1987,Rockin ' Music,Steady B,What 's My Name
1987,Bait,Ultramagnetic MCs,Red Alert Goes Berserk
1987,Rock You Again ( Again & Again ),Whodini,Open Sesame
1988,Hey You !,Bomb the Bass,Into the Dragon
1988,It 's My Thing,EPMD,Strictly Business
1988,Strictly Business,EPMD,Strictly Business
1988,Put Your Hands Together,Eric B . & Rakim,Follow the Leader
1988,Truth,Fila Fresh Crew,Tuffest Man Alive
1988,Provokerer Onanerer,MC Einar,Den Nye Stil
1988,So Def,MC Shan,Born to be Wild
1988,Louder Than a Bomb,Public Enemy,It Takes a Nation of Millions to Hold Us Back
1988,Coolin ' in Cali,The 7A3,Coolin ' in Cali
1989,First Day of School,Craig G,The Kingpin
1989,Coming From London,Richie Rich,I Can Make You Dance
1989,Pussy Ai n't Nothin ',Schoolly D,Am I Black Enough for You ?
