Title,Publisher,Release Date,CERO
F-Zero for Game Boy Advance,Nintendo,"April 3 , 2014",A
Game Boy Wars Advance 1 + 2,Nintendo,"April 3 , 2014",A
Hoshi no Kirby : Kagami no Daimeikyū,Nintendo,"April 3 , 2014",A
Made in Wario,Nintendo,"April 3 , 2014",A
Ōgon no Taiyō : Hirakareshi Fūin,Nintendo,"April 3 , 2014",A
Super Mario Advance 2,Nintendo,"April 3 , 2014",A
Hoshi no Kirby : Yume no Izumi Deluxe,Nintendo,"April 30 , 2014",A
Mario & Luigi RPG,Nintendo,"April 30 , 2014",A
Mario Tennis Advance,Nintendo,"April 30 , 2014",A
Metroid Fusion,Nintendo,"April 30 , 2014",A
Wario Land Advance : Yōki no Otakara,Nintendo,"April 30 , 2014",A
Zelda no Densetsu : Fushigi no Bōshi,Nintendo,"April 30 , 2014",A
Fire Emblem : Rekka no Ken,Nintendo,"May 14 , 2014",A
"Pac-Man Collection ( delisted on April 28 , 2017 )",Bandai Namco Entertainment,"June 11 , 2014",A
Metroid : Zero Mission,Nintendo,"June 19 , 2014",A
Battle Network : Rockman EXE,Capcom,"July 9 , 2014",A
Kuru Kuru Kururin,Nintendo,"July 16 , 2014",A
Super Mario Advance,Nintendo,"July 16 , 2014",A
Mario vs. Donkey Kong,Nintendo,"July 23 , 2014",A
Ōgon no Taiyō : Ushinawareshi Toki,Nintendo,"July 23 , 2014",A
