Order,Coach,Contestant,Contestant,Song
1,Malú,Beatriz Herrero,Rebeca Moscardó,I Have Nothing
2,David Bisbal,Eva María Cortés,Mara Ferrándiz,Last Dance
3,Melendi,Javi Mota,Mirela Cabero,Devuélveme la vida
4,Rosario Flores,Emmanuel Lehmann,Abraham Fernández,Sorry Seems to Be the Hardest Word
5,Melendi,Mercedes Pérez,Susana del Río,"Y , ¿Si Fuera Ella ?"
6,Malú,María Moreta,Yolanda Rodríguez,Manos al Aire
7,David Bisbal,Rafa Blas,David Ros,It 's My Life
8,Malú,Eli López,Efrén García,Recuérdame
9,Melendi,Neus Ferri,Javi Brichis,Ironic
10,David Bisbal,Yanela Brooks,Yolanda Vierge,Historia de un Amor
11,Rosario Flores,Juan Carlos Mata,David Santiago,Volando voy
