Team Name,City,Venue,Capacity
HC Košice,Košice,Steel Arena,"8,378"
HC Nové Zámky,Nové Zámky,Nové Zámky Ice Stadium,"2,500"
HC Slovan Bratislava,Bratislava,Ondrej Nepela Arena,"10,055"
HC '05 Banská Bystrica,Banská Bystrica,Banská Bystrica Ice Stadium,"2,841"
HC 07 Detva,Detva,Detva Ice Stadium,"1,800"
HK Dukla Trenčín,Trenčín,Pavol Demitra Ice Stadium,"6,150"
HK Nitra,Nitra,Nitra Arena,"3,600"
HK Poprad,Poprad,Poprad Ice Stadium,"4,500"
HKM Zvolen,Zvolen,Zvolen Ice Stadium,"5,372"
MHK 32 Liptovský Mikuláš,Liptovský Mikuláš,Titan Arena,"3,680"
HK Dukla Michalovce,Michalovce,Michalovce Ice Stadium,"4,000"
DVTK Jegesmedvék,Miskolc,Miskolc Ice Hall,"2,000"
MAC Újbuda,Budapest,Tüskecsarnok,"2,540"
