Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Blane Gaison,DB,Hawaii,WAC
Atlanta Falcons,Mick Luckhurst,K,California,Pac-10
Baltimore Colts,Dave Shula,WR,Dartmouth,Ivy
Chicago Bears,Marcus Anderson,WR,Tulane,Ind
Chicago Bears,Leslie Frazier,CB,Alcorn State,SWAC
Chicago Bears,Jay Hilgenberg,C,Iowa,Big Ten
Cleveland Browns,Sam Mills,LB,Montclair State,NJSAC
Dallas Cowboys,Michael Downs,S,Rice,SWC
Dallas Cowboys,Joey Hackett,TE,Elon,SAC
Dallas Cowboys,Angelo King,LB,South Carolina State,MEAC
Dallas Cowboys,Everson Walls,CB,Grambling State,SWAC
Dallas Cowboys,Steve Wright,OT,Northern Iowa,MCAA
Detroit Lions,Alvin Hall,S,Miami ( OH ),MAC
Green Bay Packers,David Petway,S,Northern Illinois,MAC
Green Bay Packers,Randy Scott,LB,Alabama,SEC
Kansas City Chiefs,Deron Cherry,S,Rutgers,Ind
Kansas City Chiefs,Jeff Gossett,P,Eastern Illinois,MCAA
Los Angeles Rams,Jeff Kemp,QB,Dartmouth,Ivy
Minnesota Vikings,Leo Lewis,WR,Missouri,Big Eight
New England Patriots,Rich Camarillo,P,Washington,Pac-10
