Club,League/Division,Lvl,State,City
Oakleigh Cannons,National Premier Leagues Victoria,2,Victoria,Melbourne
Old Camberwell Grammarians,Victorian State League Division 4,7,Victoria,Melbourne
Old Ivanhoe Grammarians,Victorian State League Division 5,8,Victoria,Melbourne
Old Melburnians,Victorian State League Division 4,7,Victoria,Melbourne
Old Mentonians,Victorian State League Division 5,8,Victoria,Melbourne
Old Scotch,Victorian State League Division 2,5,Victoria,Melbourne
Old Trinity Grammarians,Victorian State League Division 5,8,Victoria,Melbourne
Old Xaverians SC,Victorian State League Division 4,7,Victoria,Melbourne
Olympia FC Warriors,National Premier Leagues Tasmania,2,Tasmania,Hobart
Olympic FC,National Premier Leagues Queensland,2,Queensland,Brisbane
Olympic Kingsway,Football West State League Division 2,4,Western Australia,Perth
