Club,Coach,City,Stadium,Capacity,2010
FK Andijan,Orif Mamatkazin,Andijan,Soghlom Avlod Stadium,"18,360",7th
Bunyodkor,Mirjalol Qosimov,Tashkent,JAR Stadium,"8,460",Champions
FK Buxoro,Gennadiy Kochnev,Bukhoro,Bukhoro Sport Majmuasi,"22,700",D1 1st
Mash'al Mubarek,Vladimir Fomichev,Muborak,Bahrom Vafoev Stadium,"10,000",5th
Metallurg Bekabad,Rustam Mirsodiqov,Bekabad,Metallurg Bekabad Stadium,"11,000",6th
Nasaf Qarshi,Anatoliy Demyanenko,Qarshi,Qarshi Stadium,"16,000",3rd
Navbahor Namangan,Eldor Sakaev,Namangan,Markaziy Stadium,"33,000",9th
Neftchi Farg'ona,Yuriy Sarkisyan,Farghona,Farghona Stadium,"14,520",10th
Olmaliq FK,Igor Shkvyrin,Olmaliq,Metallurg Stadium,"10,000",11th
Pakhtakor,Murod Ismailov,Tashkent,Pakhtakor Stadium,"35,000",2nd
Qizilqum Zarafshon,Sergei Arslanov,Zarafshon,Progress Stadium,"5,000",8th
FK Dinamo Samarqand,Akhmad Ubaydullaev,Samarqand,Olimpiya Stadium,"12,250",12th
Sho'rtan Ghuzor,Tachmurad Agamuradov,Ghuzor,Ghuzor Stadium,"7,000",4th
Sogdiana Jizzakh,Murod Otajonov,Jizzakh,Jizzakh Stadium,"9,000",D1 2nd
