#,Artist,Album,Country of origin,Tracks in the Hottest 100
1,Tame Impala,Lonerism,Australia,"7 , 9"
2,The Black Keys,El Camino,United States,"13 , 79 ( 2 in 2011 )"
3,The Rubens,The Rubens,Australia,"10 , 66 ( 57 in 2011 )"
4,Mumford & Sons,Babel,United Kingdom,"5 , 58"
5,Ball Park Music,Museum,Australia,"23 , 27"
6,alt-J,An Awesome Wave,United Kingdom,"3 , 64 , 81"
7,Flume,Flume,Australia,"4 , 12 , 67"
8,The xx,Coexist,United Kingdom,19
9,Frank Ocean,Channel Orange,United States,"8 , 56 , 80"
10,San Cisco,San Cisco,Australia,"48 , 53"
