Name,M,G,Degree,Notes
John Edwards,1825,1830,BA,"Welsh cleric and hymn-tune composer , most notably of Rhosymedre ( named after his parish )"
David Evans,1725 ?,1731,"BA ( 1728 ) , MA ( 1731 )","Welsh priest , scholar and musician"
Thomas Fielden,1905,1909 ?,"BA Music , BMus",College organ exhibitioner ; Professor of Pianoforte at the Royal College of Music ( 1921-52 )
David Ffrangcon-Davies,1876,1881,BA,Baritone singer who needed several attempts to pass his exams
Paul Jones,1960 ?,DNG,-,Singer with Manfred Mann
Michael Nicholas,1957,1960,BA Music ( 2nd ),Organ scholar at college ; organist and master of the choristers at Norwich Cathedral ( 1971-94 ) ; Chief Executive of the Royal College of Organists ( 1994-97 )
William Reed,1929,1934,"BA Literae Humaniores ( 2nd , 1933 ) , Diploma in Education ( 1934 ) , DMus ( 1939 )",English composer who studied with Herbert Howells
Alan Rowlands,1946 ?,1949 ?,BA Chemistry,Pianist specialising in the work of John Ireland
Denis Stevens,1940,1949,BA Music,A musicologist ( with a particular interest in Monteverdi ) ; editor of Grove Dictionary of Music and Musicians ( 1959-63 ) and Professor of Music at Columbia University ( 1964-76 ) ; studied languages ( 1940-42 ) then music after his war service ( 1942-46 )
Blanc Wan,2012,2013,MSt Music Performance,"A pianist and acclaimed writer ; chief editor of The Pianist magazine ; studied at Oxford then research on Russian Piano School in London ; Professor of Piano at Goldsmiths , University of London"
