,Cyclists,Nation,Team,Age,Points
1,Marianne Vos,NED,DSB,26,1327.66
2,Nicole Cooke,GBR,RLT,30,750
3,Judith Arndt,GER,TMP,37,712.83
4,Noemi Cantele,ITA,BCT,32,629.16
5,Giorgia Bronzini,ITA,SAF,30,557
6,Edita Pučinskaitė,LTU,NUR,38,554.75
7,Susanne Ljungskog,SWE,FLX,37,553.49
8,Oenone Wood,AUS,TMP,33,518.5
9,Amber Neben,USA,FLX,38,477.16
10,Ina Teutenberg,GER,TMP,39,431
11,Trixi Worrack,GER,NUR,32,421.75
12,Marta Bastianelli,ITA,SAF,26,402
13,Fabiana Luperini,ITA,MSG,39,379
14,Hanka Kupfernagel,GER,,39,343.66
15,Rochelle Gilmore,AUS,MSG,32,334
16,Karin Thürig,SUI,RLT,41,332
17,Marina Jaunatre,FRA,FUT,31,322
18,Kristin Armstrong,USA,LIP,40,320
19,Nicole Brändli,SUI,BCT,34,303.49
20,Regina Schleicher,GER,NUR,39,302.25
