Committee,Chair,Vice Chair
Agriculture and Rural Development,Don Lehe ( R-25 ),Alan Morrison ( R-42 )
"Commerce , Small Business , and Economic Development",Robert Morris ( R-84 ),Doug Miller ( R-48 )
Committee on Joint Rules,Brian Bosma ( R-88 ),Jerry Torr ( R-39 )
Committee of the Whole,Brian Bosma ( R-88 ),
Courts and Criminal Code,Thomas Washburne ( R-64 ),Sharon Negele ( R-13 )
Education,Robert Behning ( R-91 ),Anthony Cook ( R-32 )
Elections and Apportionment,Milo Smith ( R-59 ),Kathy Richardson ( R-29 )
"Employment , Labor and Pensions",Heath VanHatter ( R-38 ),Randy Lyness ( R-68 )
Environmental Affairs,David Wolkins ( R-18 ),Greg Beumer ( R-33 )
"Family , Children and Human Affairs",David Frizzell ( R-93 ),Cindy Ziemke ( R-55 )
Financial Institutions,Woody Burton ( R-58 ),Robert Heaton ( R-46 )
Government and Regulatory Reform,Kevin Mahan ( R-31 ),Jim Lucas ( R-69 )
Insurance,Martin Carbaugh ( R-81 ),Richard Hamm ( R-56 )
Judiciary,Gregory Steuerwald ( R-40 ),Wendy McNamara ( R-76 )
Local Government,Dennis Zent ( R-51 ),Bruce Borders ( R-45 )
Natural Resources,Sean Ebthart ( R-57 ),Jeff Ellington ( R-62 )
Public Health,Cindy Kirchhofer ( R-89 ),Ronald Bacon ( R-75 )
Public Policy,Ben Smaltz ( R-52 ),Timothy Wesco ( R-21 )
Roads and Transportation,Edmond Soliday ( R-4 ),Mike Speedy ( R-90 )
Rules and Legislative Procedures,Jerry Torr ( R-39 ),Gregory Steuerwald ( R-40 )
