Rank,Release Date,Film Title,Studio,Gross ( RM )
1,28 Apr,Captain America : Civil War,Walt Disney Pictures,"43,381,100"
2,24 Mar,Batman v Superman : Dawn of Justice,Warner Bros,"30,450,300"
3,11 Feb,The Mermaid,Sony Pictures Entertainment,"28,214,290"
4,27 Oct,Doctor Strange,Walt Disney Pictures,"24,195,400"
5,7 Apr,The Jungle Book,Walt Disney Pictures,"23,081,100"
6,11 Feb,Deadpool,20th Century Fox,"21,842,600"
7,4 Feb,From Vegas to Macau III,Golden Screen Cinemas,"16,005,200"
8,15 Dec,Rogue One : A Star Wars Story,Walt Disney Pictures,"15,068,200"
9,29 Dec,The Great Wall,20th Century Fox,"14,714,500"
10,10 Mar,Kung Fu Panda 3,20th Century Fox,"14,407,000"
