#,Name,Pos,College,GP,Seasons
69,Jason Fabini,OT,Cincinnati,23,2007-08
68,Mike Fanucci,DE,Arizona State,14,1972
44,Andy Farkas,RB,Detroit Mercy,62,1938-44
20,Dick Farman,OL,Washington State,49,1939-43
14,Tom Farmer,RB,Iowa,19,1947-48
86,Jimmy Farris,WR,Montana,6,"2005 , 2007"
93,Jeff Faulkner,DL,Southern,5,1993
88,Christian Fauria,TE,Colorado,9,2006
-,Fred Felber,OT,North Dakota,10,1932
45,Ralph Felton,LB,Maryland,75,1954-60
12/27,Neil Ferris,DB / HB,Loyola Marymount,16,1951-52
30,Frank Filchock,QB / RB,Indiana,58,"1938-41 , 1944-45"
51,Alfred Fincher,LB,Connecticut,14,2008
11,Al Fiorentino,G,Boston College,20,1943-44
51/60,Mark Fischer,C,Purdue,22,1998-01
37,Pat Fischer,CB,Nebraska,126,1968-77
88,Matt Flanagan,TE,Pittsburgh,3,2018- present
89,Zeron Flemister,TE,Iowa,48,2000-03
59,London Fletcher,LB,John Carroll,112,2007-13
12,Tom Flick,QB,Washington,6,1981
