Representative,Member State,In office since
Sebastian Kurz,Austria,7 January 2020
Sophie Wilmès,Belgium,27 October 2019
Nicos Anastasiades,Cyprus,28 February 2013
Jüri Ratas,Estonia,23 November 2016
Sanna Marin,Finland,10 December 2019
Emmanuel Macron,France,14 May 2017
Angela Merkel,Germany,22 November 2005
Kyriakos Mitsotakis,Greece,8 July 2019
Leo Varadkar,Ireland,14 June 2017
Giuseppe Conte,Italy,1 June 2018
Arturs Krišjānis Kariņš,Latvia,23 January 2019
Gitanas Nausėda,Lithuania,12 July 2019
Xavier Bettel,Luxembourg,4 December 2013
Robert Abela,Malta,13 January 2020
Mark Rutte,Netherlands,14 October 2010
António Costa,Portugal,26 November 2015
Peter Pellegrini,Slovakia,22 March 2018
Marjan Šarec,Slovenia,13 September 2018
Pedro Sánchez Pérez-Castejón,Spain,2 June 2018
Donald Tusk Non-voting chair,European Union,1 December 2014
