Year,Winner ( s ),Work,Nominees
2010,David Caddick & David Lai ( producer ) · engineered/mixed by Todd Whitelock,West Side Story ( New Broadway Cast Recording ),Ai n't Misbehavin ' Hair 9 To 5 : The Musical Shrek The Musical
2011,Billie Joe Armstrong ( producer ) · engineered/mixed by Chris Dugan & Chris Lord-Alge,American Idiot ( featuring Green Day ),"Fela ! - Robert Sher ( producer ) A Little Night Music - Tommy Krasker ( producer ) Promises , Promises - David Caddick & David Lai ( producers ) Sondheim on Sondheim - Philip Chaffin & Tommy Krasker ( producers )"
2012,"Andrew Rannells & Josh Gad ( artists ) · composer & lyrics by Matt Stone , Robert Lopez & Trey Parker ; · produced by Anne Garefino , Matt Stone , Robert Lopez , Scott Rudin , Stephen Oremus & Trey Parker ; · engineered/mixed by Frank Filipetti",The Book of Mormon,"Anything Goes ( New Broadway Cast Recording ) - Sutton Foster & Joel Grey ( principal soloists ) ; Rob Fisher , James Lowe & Joel Moss ( producers ) How to Succeed in Business Without Really Trying ( 2011 Broadway Cast ) - John Larroquette & Daniel Radcliffe ( principal soloists ) ; Robert Sher ( producer )"
2013,Steve Kazee & Cristin Milioti ( principal soloists ) · produced by Steven Epstein & Martin Lowe ; · engineered/mixed by Richard King,Once : A New Musical,"Follies - Danny Burstein , Jan Maxwell , Elaine Paige , Bernadette Peters & Ron Raines ( principal soloists ) ; Philip Chaffin & Tommy Krasker ( producers ) The Gershwins ' Porgy & Bess - David Alan Grier , Norm Lewis & Audra McDonald ( principal soloists ) ; Tommy Krasker ( producer ) Newsies - Jeremy Jordan & Kara Lindsay ( principal soloists ; Frank Filipetti , Michael Kosarin , Alan Menken & Chris Montan ( producers ) Nice Work If You Can Get It - Matthew Broderick & Kelli O'Hara ( principal soloists ) ; David Chase , Bill Elliott & Robert Sher ( producers )"
2014,"Billy Porter & Stark Sands ( principal soloists ) · composer & lyrics by Cyndi Lauper ; · produced by Sammy James , Jr. , Cyndi Lauper , Stephen Oremus & William Wittman ; · engineered/mixed by Derik Lee & William Wittman",Kinky Boots,"Matilda : The Musical - Bertie Carvel , Sophia Gennusa , Oona Laurence , Bailey Ryon , Milly Shapiro & Lauren Ward ( principal soloists ) ; Tim Minchin ( composer & lyricist ) ; Michael Croiter , Van Dean & Chris Nightingale ( producers ) Motown : The Musical - Brandon Victor Dixon & Valisia Lakae ( principal soloists ) ; Frank Filipetti & Ethan Popp ( producers )"
2015,"Jessie Mueller ( principal soloist ) · produced by Jason Howland , Steve Sidwell & Billy Jay Stein",Beautiful : The Carole King Musical,"Aladdin - James Monroe Iglehart , Adam Jacobs & Courtney Reed ( principal soloists ) ; Frank Filipetti , Michael Kosarin , Alan Menken & Chris Montan ( producers ) A Gentleman 's Guide to Love & Murder - Jefferson Mays & Bryce Pinkham ( principal soloists ) ; Kurt Deutsch & Joel W. Moss , ( producers ) ; Steven Lutvak ( composer/lyricist ) ; Robert L. Freedman ( lyricist ) Hedwig and the Angry Inch - Lena Hall & Neil Patrick Harris ( principal soloists ) ; Justin Craig , Tim O'Heir & Stephen Trask ( producers ) West Side Story - Cheyenne Jackson & Alexandra Silber ( principal soloists ) ; Michael Tilson Thomas & Jack Vad ( producers )"
2016,"Daveed Diggs , Renée Elise Goldsberry , Jonathan Groff , Christopher Jackson , Jasmine Cephas Jones , Lin-Manuel Miranda , Leslie Odom Jr. , Okieriete Onaodowan , Anthony Ramos & Phillipa Soo ( principal soloists ) · music & lyrics by Lin-Manuel Miranda · produced by Alex Lacamoire , Lin-Manuel Miranda , Bill Sherman , Ahmir Thompson & Tarik Trotter",Hamilton,"An American in Paris - Leanne Cope , Max von Essen , Robert Fairchild , Jill Paice & Brandon Uranowitz ( principal soloists ) ; Rob Fisher & Scott Lehrer ( producers ) Fun Home - Michael Cerveris , Judy Kuhn , Sydney Lucas , Beth Malone & Emily Skeggs ( principal soloists ) ; Philip Chaffin & Tommy Krasker ( producers ) The King and I - Ruthie Ann Miles , Kelli O'Hara , Ashley Park , Conrad Ricamora & Ken Watanabe ( principal soloists ) ; David Lai & Ted Sperling ( producers ) Something Rotten ! - Heidi Blickenstaff , Christian Borle , John Cariani , Brian d'Arcy James , Brad Oscar & Kate Reinders ( principal soloists ) ; Kurt Deutsch , Karey Kirkpatrick , Wayne Kirkpatrick , Lawrence Manchester , Kevin McCollum & Phil Reno ( producers ) ; Karey Kirkpatrick & Wayne Kirkpatrick ( composers/lyricists )"
2017,"Danielle Brooks , Cynthia Erivo & Jennifer Hudson ( principal soloists ) · produced by Stephen Bray , Van Dean , Frank Filipetti , Roy Furman , Scott Sanders & Jhett Tolentino",The Color Purple ( 2015 Broadway Cast ),"Bright Star ( Original Broadway Cast ) - Carmen Cusack ( principal soloist ) ; Jay Alix , Peter Asher & Una Jackman ( producers ) ; Steve Martin ( composer ) ; Edie Brickell ( composer & lyricist ) Fiddler on the Roof ( 2016 Broadway Cast ) - Danny Burstein ( principal soloist ) ; Louise Gund , David Lai & Ted Sperling ( producers ) Kinky Boots ( Original West End Cast ) - Killian Donnelly & Matt Henry ( principal soloists ) ; Sammy James , Jr. , Cyndi Lauper , Stephen Oremus & William Wittman ( producers ) Waitress ( Original Broadway Cast ) - Jessie Mueller ( principal soloist ) ; Neal Avron , Sara Bareilles & Nadia DiGiallonardo ( producers ) ; Sara Bareilles ( composer & lyricist )"
2018,"Laura Dreyfuss , Mike Faist , Rachel Bay Jones , Kristolyn Lloyd , Michael Park , Ben Platt , Will Roland & Jennifer Laura Thompson ( principal soloists ) ; Pete Ganbarg , Alex Lacamoire , Stacey Mindich , Benj Pasek & Justin Paul ( producers ) ; Pasek & Paul ( composers/lyricists )",Dear Evan Hansen ( Original Broadway Cast ),"Come from Away ( Original Broadway Cast ) - Ian Eisendrath , August Eriksmoen , David Hein , David Lai & Irene Sankoff , ( producers ) ; David Hein & Irene Sankoff ( composers/lyricists ) Hello , Dolly ! ( 2017 Broadway Cast ) - Bette Midler ( principal soloist ) ; Steven Epstein ( producer )"
2019,"Etai Benson , Adam Kantor , Katrina Lenk & Ari'el Stachel ( principal soloists ) ; Dean Sharenow ( producer ) ; David Yazbek ( producer , composer & lyricist )",The Band 's Visit ( Original Broadway Cast ),"Carousel ( 2018 Broadway Cast ) - Renée Fleming , Alexander Gemignani , Joshua Henry , Lindsay Mendez & Jessie Mueller ( principal soloists ) ; Steven Epstein ( producer ) Jesus Christ Superstar Live in Concert ( Original Soundtrack of the NBC Television Event ) - Sara Bareilles , Alice Cooper , Ben Daniels , Brandon Victor Dixon , Erik Grönwall , Jin Ha , John Legend , Norm Lewis & Jason Tam ( principal soloists ) ; Harvey Mason Jr. ( producer ) My Fair Lady ( 2018 Broadway Cast ) - Lauren Ambrose , Norbert Leo Butz & Harry Hadden-Paton ( principal soloists ) ; Andre Bishop , Van Dean , Hattie K. Jutagir , David Lai , Adam Siegel & Ted Sperling ( producers ) Once on This Island ( 2017 Broadway Cast ) - Phillip Boykin , Merle Dandridge , Quentin Earl Darrington , Hailey Kilgore , Kenita R. Miller , Alex Newell , Isaac Cole Powell & Lea Salonga ( principal soloists ) ; Lynn Ahrens , Hunter Arnold , Ken Davenport , Stephen Flaherty & Elliot Scheiner ( producers )"
