Club,Winners,Runners-up,Winning Years
KF Tirana,16,9,"1939 , 1963 , 1976 , 1977 , 1983 , 1984 , 1986 , 1994 , 1996 , 1999 , 2001 , 2002 , 2006 , 2011 , 2012 , 2017"
Partizani,15,8,"1948 , 1949 , 1957 , 1958 , 1961 , 1964 , 1966 , 1968 , 1970 , 1973 , 1980 , 1991 , 1993 , 1997 , 2004"
Dinamo Tirana,13,6,"1950 , 1951 , 1952 , 1953 , 1954 , 1960 , 1971 , 1974 , 1978 , 1982 , 1989 , 1990 , 2003"
Vllaznia,6,8,"1965 , 1972 , 1979 , 1981 , 1987 , 2008"
Flamurtari,4,8,"1985 , 1988 , 2009 , 2014"
Teuta ( also Lokomotiva Durrës ),3,6,"1995 , 2000 , 2005"
Besa,2,6,"2007 , 2010"
KF Laçi,2,2,"2013 , 2015"
FK Kukësi,2,2,"2016 , 2019"
KF Elbasani ( also Labinoti ),2,1,"1975 , 1992"
Skënderbeu,1,5,2018
Apolonia,1,-,1998
KS Lushnja ( also Traktori ),-,3,-
Tomori,-,1,-
Albpetrol,-,1,-
Bylis,-,1,-
