Name,Regions,Area,High Point,Elevation,Established
"Abruzzo , Lazio and Molise","Abruzzo , Lazio , Molise",506.83 km ( 195.69 sq mi ),Monte Petroso,"2,249 m ( 7,379 ft )",1923
Alta Murgia,Apulia,677.39 km ( 261.54 sq mi ),Torre Disperata,"686 m ( 2,251 ft )",2004
Appennino Lucano - Val d'Agri - Lagonegrese,Basilicata,689.96 km ( 266.40 sq mi ),Monte del Papa,"2,005 m ( 6,578 ft )",2007
Appennino Tosco-Emiliano,"Emilia-Romagna , Tuscany",227.92 km ( 88.00 sq mi ),Monte Cusna,"2,121 m ( 6,959 ft )",1997
Archipelago of La Maddalena,Sardinia,201.46 km ( 77.78 sq mi ),"Punta Tejalone , Caprera",212 m ( 696 ft ),1994
Tuscan Archipelago,Tuscany,746.53 km ( 288.24 sq mi ),Monte Capanne on Elba in the Tuscan Archipelago,"1,018 m ( 3,340 ft )",1989
Asinara,Sardinia,269.60 km ( 104.09 sq mi ),Punta Scomunica,"408 m ( 1,339 ft )",1997
Aspromonte,Calabria,760.53 km ( 293.64 sq mi ),Montalto,"1,955 m ( 6,414 ft )",1989
"Cilento , Vallo di Diano , and Alburni",Campania,"1,810.48 km ( 699.03 sq mi )",Monte Cervati,"1,898 m ( 6,227 ft )",1991
Cinque Terre,Liguria,38.60 km ( 14.90 sq mi ),Monte ( Mai- ) Pertuso,"820 m ( 2,690 ft )",1999
Circeo,Lazio,84.40 km ( 32.59 sq mi ),Monte Circeo,"541 m ( 1,775 ft )",1934
Dolomiti Bellunesi,Veneto,31.51 km ( 12.17 sq mi ),Monte Pavione,"2,335 m ( 7,661 ft )",1988
"Foreste Casentinesi , Monte Falterona , and Campigna","Emilia-Romagna , Tuscany",364.00 km ( 140.54 sq mi ),Monte Falterona,"1,645 m ( 5,397 ft )",1989
Gargano,Apulia,"1,211.18 km ( 467.64 sq mi )",Monte Calvo,"1,065 m ( 3,494 ft )",1991
Gennargentu,Sardinia,730.00 km ( 281.85 sq mi ),Punta La Marmora,"1,834 m ( 6,017 ft )",1998
Gran Paradiso,"Valle d'Aosta , Piedmont",700.00 km ( 270.27 sq mi ),Gran Paradiso,"4,061 m ( 13,323 ft )",1922
Gran Sasso and Monti della Laga,"Marche , Abruzzo , Lazio","1,413.31 km ( 545.68 sq mi )",Corno Grande,"2,912 m ( 9,554 ft )",1991
Isola di Pantelleria,Sicily,,Montagna Grande,"836 m ( 2,743 ft )",2016
Majella,Abruzzo,704.00 km ( 271.82 sq mi ),Monte Amaro,"2,793 meters ( 9,163 ft )",1991
Sibillini Mountains,"Marche , Umbria",697.22 km ( 269.20 sq mi ),Monte Vettore,"2,476 m ( 8,123 ft )",1988
