Year,Title,Role,Notes
1990,Guiding Light,Louisa Young,2 episodes
1991-1994,As the World Turns,Denise Jones,5 episodes
1992-1996,Picket Fences,Kimberly Brock,Main role ( 83 episodes )
1994,A Perfect Stranger,Amanda Hale,Television movie ( NBC )
1994,Island City,Erin Sloan,Television movie ( PTEN )
1996,Sins of Silence,Sophie DiMatteo,Television movie ( CBS ) ; lead role
1997,Love 's Deadly Triangle : The Texas Cadet Murder,Diane Zamora,Television movie ( NBC ) ; lead role
1997,Our Mother 's Murder,Alex Morell,Television movie ( Lifetime ) ; lead role
1997,Relativity,Anne Pryce,Episode ( 1.14 ) : Billable Hours
1998-2006,Charmed,Piper Halliwell,Lead role ( 179 episodes ) Producer ( seasons 5-8 )
2003,See Jane Date,Natasha Nutley,Television movie ( ABC Family ) ; co-lead role
2007,Panic Button ( original title Point of Entry ),Katherine Alden,Television movie ( Lifetime ) ; lead role
2010-2017,Pretty Little Liars,Ella Montgomery,Main cast ( seasons 1-3 ) Special guest star ( seasons 4-7 ) ; 62 episodes
2014,Hell 's Kitchen,Herself,Season 12 Episode 6 : 15 Chefs Compete ; Blue kitchen VIP guest
2015,Off the Map with Shannen & Holly,Herself,Great American Country reality series ( 6 episodes )
2016,Love 's Complicated,Leah Townsend,Television movie ( Hallmark Channel ) ; lead role
2019,Grey 's Anatomy,Heidi Peterson,Episode ( 16.03 ) : Reunited
