Year,1st,2nd,3rd
1999,Sydney RC,Drummoyne / Mosman,SUBC / Drummoyne
2000,Drummoyne,Sydney RC,SUBC
2001,King 's,Grammar,Sydney RC
2002,UTS Haberfield,St Ignatius ',Drummoyne
2003,SUBC / Drummoyne,St Ignatius ',Shore
2004,Shore,SUBC,Drummoyne
2005,SUBC,King 's,Sydney Boys High
2006,SUBC / Mosman / UTS,Shore,Grammar
2007,SUBC,King 's,Shore
2008,Sydney RC,Shore,St Joseph 's
2009,SUBC,Shore,St Joseph 's
2011,SUBC,Sydney RC,King 's
2016,Sydney RC,SUBC,UTS Haberfield
2017,Sydney Rowing Club,Sydney University Boat Club,UTS Rowing Club
2018,SUBC,Sydney RC,scratched
