Name,Amusement Park,Location,Opening Date,Model
Bat,Lagoon Amusement Park,"Farmington , Utah , United States",16 April 2005,342m
Escape from Madagascar,Dreamworld,"Gold Coast , Queensland , Australia",26 December 2002,342m
Family Coaster,Children 's Grand Park,"Seoul , South Korea",2014,395m
Flight of the Pterosaur,Paultons Park,"Romsey , Hampshire , England",17 May 2016,395m
Kitty Hawk,Carowinds,"Charlotte , North Carolina , United States",22 March 2003,342m
Flying Ace Aerial Chase,Kings Island,"Mason , Ohio , United States",7 April 2001,342m
Flying School formerly Swamp Thing,Legoland Florida,"Winter Haven , Florida , United States",9 December 2004,342m
Freedom Flyer,Fun Spot America,"Orlando , Florida , United States",May 2013,395m
Jimmy Neutron 's Atomic Flyer,Movie Park Germany,"Bottrop , North Rhine-Westphalia , Germany",March 2007,294m
Kvasten,Gröna Lund,"Stockholm , Sweden",28 April 2007,395m
Orkanen,Fårup sommerland,"Jylland , Denmark",5 June 2013,453m
Silver Streak,Canada 's Wonderland,"Vaughan , Ontario , Canada",6 May 2001,342m
Steel Lasso,Frontier City,"Oklahoma City , Oklahoma , United States",18 July 2008,294m
Swamp Thing,Wild Adventures,"Valdosta , Georgia , United States",10 May 2003,342m
Dragon Flier,Dollywood,"Pigeon Forge , Tennessee , United States",2019,453m
