Venue,City,State,Appearances,Last,Years
Georgia Dome,Atlanta,Georgia,12,2014,"1995 , 1998-2000 , 2002 , 2004-05 , 2007-08 , 2011 , 2014"
Louisville Gardens,Louisville,Kentucky,12,1952,1941-52
Bridgestone Arena,Nashville,Tennessee,7,2017,"2001 , 2006 , 2010 , 2013 , 2015-17 , 2019-21 , 2023-30"
Legacy Arena,Birmingham,Alabama,6,1992,"1979-81 , 1983 , 1985 , 1992"
Alumni Memorial Gym,Knoxville,Tennessee,4,1940,"1936-37 , 1939-40"
Rupp Arena,Lexington,Kentucky,3,1993,"1982 , 1986 , 1993"
Atlanta Athletic Club,Atlanta,Georgia,2,1934,1933-34
Memorial Gymnasium,Nashville,Tennessee,2,1991,"1984 , 1991"
Mercedes-Benz Superdome,New Orleans,Louisiana,2,2003,"1996 , 2003 ,"
The Pyramid,Memphis,Tennessee,2,1997,"1994 , 1997"
McCamish Pavilion,Atlanta,Georgia,1,2008,2008
Amalie Arena,Tampa,Florida,1,2009,"2009 , 2022"
Huey Long Field House,Baton Rouge,Louisiana,1,1938,1938
Smoothie King Center,New Orleans,Louisiana,1,2012,2012
Orlando Arena,Orlando,Florida,1,1990,1990
Pete Maravich Assembly Center,Baton Rouge,Louisiana,1,1988,1988
Thompson-Boling Arena,Knoxville,Tennessee,1,1989,1989
Enterprise Center,St. Louis,Missouri,1,2018,2018
