Destination ( Town ),Name,Country,Aqueduct length overall
Aix-en-Provence,?,France,?
Alabanda,?,Turkey,?
Alatri,?,Italy,?
Alcanadre,?,Spain,?
Alinda,?,Turkey,?
Almuñécar,?,Spain,?
Ansignan,?,France,?
Antibes,La Bouillide,France,?
Antibes,La Fontveille,France,?
Antioch,?,Turkey,?
Anzio,?,Italy,?
Aosta,Pont d'Aël,Italy,?
Arles,"Barbegal , Fontveille",France,?
Aspendus,?,Turkey,?
"Athens , Hadrianic aqueduct",,Greece,?
"Athens , Nea Ionia",Late Roman aqueduct,Greece,?
Barcelona,?,Spain,?
Bavay,?,France,?
Baelo-Claudia,?,Spain,?
Beirut,"Aqueduct of Zubaida , Mansourieh",Lebanon,20 km
