Club,Location,Stadium,Capacity
FC Daugava,Daugavpils,Daugava Stadium,"4,100"
FK Daugava Rīga,Riga,Daugava Stadium,"5,000"
FB Gulbene,Gulbene,Gulbenes Sporta Centrs,"1,500"
FK Jelgava,Jelgava,Zemgales Olimpiskais Sporta Centrs,"2,200"
FC Jūrmala,Jūrmala,Slokas Stadium,"5,000"
SK Liepājas Metalurgs,Liepāja,Daugava Stadium,"5,083"
FS Metta/LU,Riga,Rīgas 49. vidusskola Stadium,250
Skonto FC,Riga,Skonto Stadium,"10,000"
FK Spartaks Jūrmala,Jūrmala,Slokas Stadium,"5,000"
FK Ventspils,Ventspils,Olimpiskais Stadium,"3,200"
