Call sign in 1995,Frequency,Broadcast area,State,Current Call sign
KDRE,101.1 FM,Little Rock,Arkansas,KDXE
KFTH,107.1 FM,Memphis,Tennessee,KXHT
WDRE,92.7 FM,Garden City / New York City,New York,WQBU-FM
WIBF,103.9 FM,Jenkintown / Philadelphia,Pennsylvania,WPHI-FM
WMRW,98.5 FM,Westhampton /eastern Long Island,New York,WBON
WRLG,94.1 FM,Nashville,Tennessee,WFFH
WUNX,93.5 FM,Mashpee / Cape Cod,Massachusetts,WFRQ
WUNZ,101.1 FM,Mashpee / Cape Cod,Massachusetts,WHYA
WWCP,96.7 FM,Albany,New York,WMHH
WYKT,105.5 FM,Wilmington,Illinois,WYKT
