Round,Pick #,Overall,Name,Position,College
1,11,11,Trae Waynes,Cornerback,Michigan State
2,13,45,Eric Kendricks,Linebacker,UCLA
3,24,88,Danielle Hunter,Defensive end,LSU
4,11,110,T. J. Clemmings,Offensive tackle,Pittsburgh
5,7,143,MyCole Pruitt,Tight end,Southern Illinois
5,10,146,Stefon Diggs,Wide receiver,Maryland
6,9,185,Tyrus Thompson,Offensive tackle,Oklahoma
6,17,193,B. J. Dubose,Defensive end,Louisville
7,11,228,Austin Shepherd,Offensive tackle,Alabama
7,15,232,Edmond Robinson,Linebacker,Newberry College
