Tunnel,Line,Length in m
Amtshainersdorf Tunnel 1,Sebnitz Valley Railway,89
Amtshainersdorf Tunnel 2,Sebnitz Valley Railway,91
Dresden Airport Tunnel,Dresden Airport S-Bahn,570
Geising Tunnel,Müglitz Valley Railway,235
Gleisberg Tunnel,Müglitz Valley Railway,593
Köttewitz Tunnel,Müglitz Valley Railway,198
Oberau Tunnel,Leipzig-Dresden,513
Pilz Tunnel,Müglitz Valley Railway,292
Rathmannsdorf Tunnel,Sebnitz Valley Railway,377
Sebnitz Tunnel,Sebnitz Valley Railway,148
Edle Krone Tunnel,Dresden-Werdau,122
Ulbersdorf Tunnel 1,Sebnitz Valley Railway,108
Ulbersdorf Tunnel 2,Sebnitz Valley Railway,91
Ulbersdorf Tunnel 1,Sebnitz Valley Railway,77
Weesenstein Tunnel,Müglitz Valley Railway,240
