Medal,Name,Sport,Event
Gold,Rosi Mittermaier,Alpine skiing,Women 's downhill
Gold,Rosi Mittermaier,Alpine skiing,Women 's slalom
Silver,Rosi Mittermaier,Alpine skiing,Women 's giant slalom
Silver,Wolfgang Zimmerer Manfred Schumann,Bobsleigh,Two-man
Silver,Josef Fendt,Luge,Men 's individual
Silver,Hans Brandner Balthasar Schwarm,Luge,Men 's doubles
Silver,Urban Hettich,Nordic combined,Men 's individual
Bronze,Wolfgang Zimmerer Peter Utzschneider Bodo Bittner Manfred Schumann,Bobsleigh,Four-man
Bronze,West Germany men 's national ice hockey team Erich Weißhaupt Anton Kehle Rudolf Thanner Josef Volk Udo Kiessling Stefan Metz Klaus Auhuber Ignaz Berndaner Rainer Phillip Lorenz Funk Wolfgang Boos Ernst Köpf Ferenc Vozar Walter Koberle Erich Kühnhackl Alois Schloder Martin Hinterstocker Franz Reindl,Ice hockey,Men 's competition
Bronze,Elisabeth Demleitner,Luge,Women 's individual
