Church name,Address,Community,School
Cathedral of Our Lady of the Angels,555 West Temple St. 34°03′25″N 118°14′41″W / 34.05694°N 118.24472°W / 34.05694 ; -118.24472 ( Cathedral of Our Lady of the Angels ),Los Angeles ( Downtown ),K-8 [ 56 ] 9-12 [ 57 ]
Holy Cross,4705 S. Main St. 34°00′03″N 118°16′27″W / 34.00083°N 118.27417°W / 34.00083 ; -118.27417 ( Holy Cross ),Los Angeles ( South Los Angeles ),No
Holy Name of Jesus [ 58 ],1955 W. Jefferson Blvd . 34°01′32″N 118°18′53″W / 34.02556°N 118.31472°W / 34.02556 ; -118.31472 ( Holy Name of Jesus ),Los Angeles ( Jefferson Park ),K-8 [ 59 ]
Immaculate Conception,1433 James M. Wood Blvd . 34°03′02″N 118°16′17″W / 34.05056°N 118.27139°W / 34.05056 ; -118.27139 ( Immaculate Conception ),Los Angeles ( Westlake ),K-8 [ 60 ]
Our Lady of the Bright Mount,3424 W. Adams Blvd . 34°01′55″N 118°19′19″W / 34.03194°N 118.32194°W / 34.03194 ; -118.32194 ( Our Lady of the Bright Mount ),Los Angeles ( West Adams ),No
Our Lady of Loretto,250 N. Union Ave. 34°04′00″N 118°15′52″W / 34.06667°N 118.26444°W / 34.06667 ; -118.26444 ( Our Lady of Loretto ),Los Angeles ( Echo Park ),K-8 [ 61 ]
Our Lady Queen of Angels ( La Placita ),535 N. Main St. 34°03′25″N 118°14′25″W / 34.05694°N 118.24028°W / 34.05694 ; -118.24028 ( Our Lady Queen of Angels ),Los Angeles ( Downtown ),No
Our Saviour ( USC ) [ 62 ],3207 University Ave. 34°01′26″N 118°17′07″W / 34.02389°N 118.28528°W / 34.02389 ; -118.28528 ( Our Saviour ),Los Angeles ( Expo Park ),No
Precious Blood,435 S. Occidental Blvd . 34°03′54″N 118°17′02″W / 34.06500°N 118.28389°W / 34.06500 ; -118.28389 ( Precious Blood ),Los Angeles ( Westlake ),K-8 [ 63 ]
St. Agatha [ 64 ],2646 S Mansfield Ave. 34°01′51″N 118°21′09″W / 34.03083°N 118.35250°W / 34.03083 ; -118.35250 ( St. Agatha ),Los Angeles ( Baldwin Hills ),No
St. Agnes,2625 S. Vermont Ave. 34°01′55″N 118°17′30″W / 34.03194°N 118.29167°W / 34.03194 ; -118.29167 ( St. Agnes ),Los Angeles ( West Adams ),K-8 [ 65 ]
St. Anthony ( Croatian ) [ 66 ],712 N. Grand Ave. 34°03′46″N 118°14′35″W / 34.06278°N 118.24306°W / 34.06278 ; -118.24306 ( St. Anthony ),Los Angeles ( Downtown ),No
St. Bernadette [ 67 ],3825 Don Felipe Dr. 34°00′28″N 118°20′33″W / 34.00778°N 118.34250°W / 34.00778 ; -118.34250 ( St. Bernadette ),Los Angeles ( Baldwin Hills ),K-8 [ 68 ]
St. Cecilia,4230 South Normandie Ave. 34°00′20″N 118°17′59″W / 34.00556°N 118.29972°W / 34.00556 ; -118.29972 ( St. Cecilia ),Los Angeles ( South Los Angeles ),K-8 [ 69 ]
St. Columban,125 Loma Dr. 34°03′45″N 118°15′49″W / 34.06250°N 118.26361°W / 34.06250 ; -118.26361 ( St. Columban ),Los Angeles ( Filipinotown ),No
St. Joseph,1202 S. Los Angeles St. 34°02′12″N 118°15′30″W / 34.03667°N 118.25833°W / 34.03667 ; -118.25833 ( St. Joseph ),Los Angeles ( Downtown ),No
St. Patrick,1046 E. 34th St. 34°00′44″N 118°15′24″W / 34.01222°N 118.25667°W / 34.01222 ; -118.25667 ( St. Patrick ),Los Angeles ( South Central ),No
St. Paul,1920 South Bronson Ave. 34°02′20″N 118°19′47″W / 34.03889°N 118.32972°W / 34.03889 ; -118.32972 ( St. Paul ),Los Angeles ( Mid-City ),1-8 [ 70 ]
St. Peter ( Italian ) [ 71 ],1039 N. Broadway 34°04′04″N 118°14′06″W / 34.06778°N 118.23500°W / 34.06778 ; -118.23500 ( St. Peter ),Los Angeles ( Solano Canyon ),No
St. Stephen [ 72 ],3705 Woodlawn Ave. 34°00′52″N 118°16′23″W / 34.01444°N 118.27306°W / 34.01444 ; -118.27306 ( St. Stephen ),Los Angeles ( South Central ),No
