No,Pos,Player,Transferred to,Type,Date
11,FW,Johan Elmander,Örgyte IS,End of contract,1 July 2016
22,DF,Daniel Agger,Retired,End of contract,1 July 2016
,DF,Malthe Johansen,Retired,End of contract,1 July 2016
,,Andreas Hansen,Free agent,End of contract,1 July 2016
6,MF,Martin Ørnskov,Lyngby BK,End of contract,1 July 2016
17,DF,Riza Durmisi,Real Betis,Transfer,1 July 2016
10,MF,Magnus Eriksson,Djurgårdens IF,Transfer,1 July 2016
15,MF,David Boysen,Roda JC,Transfer,1 July 2016
11,MF,Jonas Borring,FC Midtjylland,Transfer,21 July 2016
,,Mads Juel Andersen,HB Køge,Loan,2016 ( summer )
2,DF,Jesper Juelsgaard,AGF,Transfer,31 August 2016
