Season,Winner,Runner-up,Third
1996-97,Elmar Messner,Alex Voyat,Richard Rikardsson
1997-98,Alexander Koller,Daniel Biveson,Drew Neilson
1998-99,Sylvain Duclos,Magnus Sterner,Ben Wainwright
1999-00,Pontus Stahlkloo,Guillaume Nantermod,Zeke Steggall
2000-01,Pontus Stahlkloo ( 2 ),Jasey-Jay Anderson,Alexander Maier
2001-02,Jasey-Jay Anderson,Drew Neilson,Aymerick Mermoz
2002-03,Xavier de Le Rue,Jasey-Jay Anderson,Mickael David
2003-04,Xavier de Le Rue,Simone Malusa,Drew Neilson ( 2 )
2004-05,Xavier de Le Rue ( 3 ),Jasey-Jay Anderson ( 3 ),Nate Holland
2005-06,Jasey-Jay Anderson ( 2 ),Drew Neilson,Xavier de Le Rue
2006-07,Drew Neilson,Nate Holland,Pierre Vaultier
2007-08,Pierre Vaultier,Stian Sivertzen,Mario Fuchs
2008-09,Markus Schairer,Seth Wescott,Nick Baumgartner
2009-10,Pierre Vaultier,Alex Pullin,Graham Watanabe
2010-11,Alex Pullin,Pierre Vaultier,Jonathan Cheever
2011-12,Pierre Vaultier,Andrey Boldykov,Nate Holland ( 2 )
2012-13,Alex Pullin ( 2 ),Markus Schairer,Omar Visintin
2013-14,Omar Visintin,Paul Berg,Christopher Robanske
2014-15,Lucas Eguibar,Alex Pullin ( 2 ),Nikolay Olyunin
2015-16,Pierre Vaultier,Alessandro Hämmerle,Lucas Eguibar
