Date,Co-Hosts,Guests/Segments
January 7,Kelly Ripa & Pat Sajak,"Carson Kressley , Hulk Hogan , Staff Fitness Challenge Week"
January 8,Kelly Ripa & Pat Sajak,"Lisa Rinna , Chace Crawford , Staff Fitness Challenge Week"
January 9,Kelly Ripa & Mark Consuelos,"Ice Cube , Kirk Franklin , Staff Fitness Challenge Week"
January 10,Kelly Ripa & Howie Mandel,"Donald Trump , James Marsden , Staff Fitness Challenge Week"
January 11,Kelly Ripa & Howie Mandel,"Edward Burns , Drew Lachey , Staff Fitness Challenge Week"
January 14,Regis Philbin & Kelly Ripa,"Katie Holmes , Dylan Walsh , Finger Eleven"
January 15,Regis Philbin & Kelly Ripa,"Hank Azaria , KT Tunstall"
January 16,Regis Philbin & Kelly Ripa,"Ted Danson , Catherine Bell , Soulja Boy Tell 'Em"
January 17,Regis Philbin & Kelly Ripa,"Queen Latifah , Katherine Heigl"
January 18,Kelly Ripa & Jeff Gordon,"Mario Lopez , Michael Urie"
January 21,Regis Philbin & Kelly Ripa,"Lucy Liu , Sophia Bush , Natasha Bedingfield"
January 22,Regis Philbin & Kelly Ripa,"Michael Kors , The Amazing Race winners"
January 23,Regis Philbin & Kelly Ripa,"Sarah Michelle Gellar , Bret Michaels"
January 24,Regis Philbin & Joy Philbin,"Diane Lane , Nathan Lane , Lisa Rinna"
January 28,Regis Philbin & Kelly Ripa,"Miss America 2008 , Sara Bareilles , Healthy Hearty Football Party Week"
January 29,Regis Philbin & Kelly Ripa,"Carmen Electra , Jessica Alba , Healthy Hearty Football Party Week"
January 30,Regis Philbin & Kelly Ripa,"Susan Lucci , Julia Louis-Dreyfus , Healthy Hearty Football Party Week"
January 31,Regis Philbin & Kelly Ripa,"Eva Longoria , Charles Gibson , Healthy Hearty Football Party Week"
