Year,Rider,Series,Circuit
1912,Eddie Hasha,Board Track Race,New Jersey Motordome
1924,Ray Weishaar,Speedway,Legion Ascot Speedway
1971,Rusty Bradley,AMA,Daytona
1988,Randy Glenn,CCS,Daytona
1992,Larry Schwarzbach,AMA Superbike Championship,Mid-Ohio
1993,Jimmy Adamo,AMA Superbike Championship,Daytona
2000,Chris Tatro,Championship Cup Series,Daytona
2001,Stuart Stratton,Championship Cup Series,Daytona
2003,Trent Dailey,WERA National Challenge Series,Talladega Gran Prix Raceway
2004,Jason Ciarletta,AMA Supercross Championship,Qualcomm Stadium
2010,Peter Lenz,US Grand Prix Riders Union ( MotoGP meet ),Indianapolis
2013,Kenny Anderson,AFM,Buttonwillow Raceway
2015,Bernat Martinez,MotoAmerica ( SBK meet ),Mazda Raceway Laguna Seca
2015,Dani Rivas,MotoAmerica ( SBK meet ),Mazda Raceway Laguna Seca
