Team,City,Stadium,Capacity,Field
Alianza Atlético,Sullana,Campeones del 36,"8,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Cienciano,Cuzco,Garcilaso,"42,056",Grass
Coopsol Trujillo,Trujillo,Mansiche,"24,000",Artificial
Coronel Bolognesi,Tacna,Jorge Basadre,"19,850",Grass
Deportivo Wanka,Huancayo,Huancayo,"20,000",Grass
Estudiantes de Medicina,Ica,José Picasso Peratta,"8,000",Grass
Juan Aurich,Chiclayo,Elías Aguirre,"24,500",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
Sporting Cristal,Lima,San Martín de Porres,"18,000",Grass
Universitario,Lima,Monumental,"80,093",Grass
