Year,Name,Organization,Action
2010,Andrew Maguire ( whistleblower ),,"Andrew Maguire is a British commodities trader and whistleblower . He presented evidence to United States regulators alleging that fraud had been committed , and that prices in the international gold and silver markets had been manipulated . He went public in April 2010 with assertions of market manipulation by JPMorgan Chase and HSBC of the gold and silver markets"
2010,Chelsea Manning,United States Army,"U.S. Army intelligence analyst who released the largest set of classified documents ever , mostly published by WikiLeaks and their media partners . The material included videos of the July 12 , 2007 , Baghdad airstrike and the 2009 Granai airstrike in Afghanistan ; 250,000 United States diplomatic cables ; and 500,000 army reports that came to be known as the Iraq War logs and Afghan War logs . Manning was convicted of violating the Espionage Act and other offenses and sentenced to 35 years in prison"
2002-2010,Cheryl D. Eckard,GlaxoSmithKline,"GlaxoSmithKline ( GSK ) whistleblower Cheryl D. Eckard exposed contamination problems at GSK 's pharmaceutical manufacturing operations , which led to a $ 750 million settlement with the U.S. government related to civil and criminal charges that the firm manufactured and sold adulterated pharmaceutical products . Eckard was awarded $ 96 million in 2010 , a record for an individual whistleblower , since surpassed by UBS AG whistleblower Bradley Birkenfeld 's $ 104 million award"
2010,Jennifer Bond,Boeing,"Project on Government Oversight Page . In July 2007 , Boeing manager Dave Draffin , who managed Ms . Bond in her prior work as contractor , began efforts to recruit Ms . Bond back to Boeing to assist with the BEST SOX compliance due to her effectiveness in 2006 . He contacted her again in October 2007 to recruit her as a permanent employee . Ms . Bond became a contractor employee again in November 2007 and immediately resumed her SOX compliance efforts while Managers Draffin and Bruce Warr continued to lobby Ms . Bond to be a permanent Boeing employee based on her knowledge and skills and prior performance achievements ( as well as her ability to hit the ground running ) . She became a permanent employee of Boeing effective February 22 , 2008 . Indeed , Ms . Bond had a very difficult assignment that by its nature often put her in conflict with the individuals and processes that she was required to police . Ms. Bonds advanced knowledge of SOX as well as her ethical obligations as a certified auditor led her to raise and escalate a number of important concerns in 2009 and 2010 involving the lack of internal controls , improper attempts to subvert existing internal controls , as well as other staffing and process complaints . Instead of informing Ms . Bond of the positive outcome and changes Boeing would be implementing as a result of her protected disclosure , her managers chastised her for raising those concerns at all , never confirming for her the obvious value of what she had disclosed . In a meeting with Managers Draffin and Wright , Ms . Bond was instructed by Manager Wright to not report any findings prior to discussing them with Mr. Draffin and reprimanded by Mr. Wright for causing him trouble . Additionally , Ms . Bond filed and pursued her SOX complaints , including each of those concerns articulated above , with OSHA a month before she was even identified as a candidate for layoff . On January 15 , 2010 , Ms . Bond contacted OSHA with her SOX concerns and told them she would like to file a complaint . Ms . Bond filed a formal complaint on January 19 , 2010 . After raising and pursuing her protected disclosures , Boeing began to subject Ms . Bond to a series of hostile actions , including harassment , giving her Corrective Action Memos , initiating an investigation , downgrading her performance without justification , and ultimately causing her layoff . Not only were these actions suspect in their timing , immediately following Ms. Bonds disclosures and escalations of these disclosures , they were unjustified.On September 29 , 2009 , just a few months after escalating her SOX concerns , Boeing Manager Joel Wright issued her two Employee Corrective Action memos , for failure to follow management directives and for not respecting a co-worker"
2010,Jim Wetta,AstraZeneca,"AstraZeneca ( AZ ) whistleblower Jim ( James ) Wetta filed a False Claims qui-tam case that triggered the United States Department of Justice investigation into AstraZeneca violating the Federal Anti-Kickback Statute and promoting the unapproved use of the ( anti-psychotic ) drug Seroquel . In September 2000 , the drug Seroquel received FDA approval for the short-term treatment of schizophrenia , then in 2004 , for bipolar depression . James Wetta exposed the company 's alleged fraud , where sales reps were promoting the drug for a wide range of less serious disorders which included aggression , Alzheimer 's disease , anger management , anxiety , attention deficit hyperactivity disorder , bipolar maintenance , dementia , depression , mood disorder , sleeplessness and post-traumatic stress disorder . Promoting drugs off-label amounts to fraud under the False Claims Act , as the unapproved uses were not medically accepted indications for which the federal and state Medicaid programs provided coverage . Under the Food , Drug and Cosmetics Act , a company must specify the intended use of a product in its new drug application to the FDA . Once the drug is approved by the FDA , the drug may not be marketed or promoted for off-label uses . The civil settlement agreement required AstraZeneca to pay $ 520 million to the federal government to resolve civil settlements . Jim Wetta provided the information which proved the drug was promoted for conditions other than the FDA medical indication"
2011,Michael Woodford,Olympus Corporation,"Corporate president , revealed past losses concealed and written off via excessive fee payments"
2011,Clare Rewcastle Brown,Sarawak Report,"Operated and founded the radio network Radio Free Sarawak and whistleblowing site Sarawak Report . Before February 2011 , Sarawak Report and Radio Free Sarawak operated anonymously . However , Rewcastle Brown and Radio Free Sarawak 's DJ is Peter John Jaban decided to go public after one of her informants , a former Taib aide , was found dead . Ross Boyert , who used to head Taib 's supposed real estate arm in the United States , was found dead in a Los Angeles hotel room with a plastic bag around his head in September 2011 . Boyert had claimed that he and his family had been harassed since he filed a lawsuit against the real estate company in 2007 . Sarawak Report later revealed a barrage of exposés including the April 2011 Sarawak election 's fraud , FBC Media 's scandal , Musa Aman timber corruption , Red Granite Pictures ' controversy and with her latest being the 1Malaysia Development Berhad scandal"
2011,M. N. Vijayakumar,Indian Administrative Service,Exposed serious corrupt practices at high levels
2011,Blake Percival,USIS,Percival filed a Qui Tam Whistleblower claim under seal in 7/2011 alleging that USIS had defrauded the U.S. Government by submitting unfinished background investigations to the government for payment . USIS has been under scrutiny since it was revealed that they had performed the background investigation of Edward Snowden and Aaron Alexis
2011,Everett Stern,HSBC,"AML compliance officer for HSBC who uncovered billions of dollars of illegal money laundering transactions that he began reporting to the FBI and the CIA in 2011 , which led to an SEC investigation and a $ 1.92 billion fine against HSBC the following year . These encompassed charges of money laundering for drug traffickers , terrorist financiers , and nations under U.S. and international sanctions"
2011,Manasse Nzobonimpa,EALA,"In 2011 , Manasse Nzobonimpa made allegations accusing a group of officials of the Burundi Government ( including the President Pierre Nkurunziza ) of corruption and human rights violations . He was then forced into exile with his family"
2012,Ted Siska,"Ward Diesel Filter Systems , Inc. of New York","Ward Diesel Filter Systems Inc. has agreed to pay the United States $ 628,000 to resolve allegations that it knowingly submitted false claims to federal agencies under a contract to provide diesel exhaust filtering systems for fire engines through the General Services Administration 's ( GSA ) Multiple Award Schedule program , the Justice Department announced on June 26 , 2012 . The government 's investigation was initiated by a lawsuit , U.S. ex rel . Siska v. Ward Diesel Filter Systems , Inc. , filed under the False Claims Act 's qui tam provisions , which permit private parties to sue for false claims on behalf of the United States and to share in any recovery . The whistleblower , Ted Siska , will receive $ 94,200 of the settlement"
2012,Vijay Pandhare,"Chief Engineer , Irrigation Department , Government of Maharashtra",Pandhare was a bureaucrat belonging to the Irrigation Department in the Indian state of Maharashtra . He blew the whistle on the Maharashtra Irrigation Scam of 2012 that led to the resignation of Maharashtra Deputy Chief Minister Ajit Pawar
