Artist,Song,Date released,Date certified platinum,Year of millionth sale
Gary Glitter,I Love You Love Me Love,9 November 1973,1 January 1974,1973
Brotherhood of Man,Save Your Kisses for Me,5 March 1976,1 May 1976,1976
Queen,Bohemian Rhapsody,31 October 1975,1 January 1976,1975
Wings,Mull of Kintyre,11 November 1977,1 December 1977,1977
David Soul,Do n't Give Up on Us,3 December 1976,1 February 1977,1977
Boney M,Rivers of Babylon / Brown Girl in the Ring,14 April 1978,1 May 1978,1978
Boney M,Mary 's Boy Child - Oh My Lord,24 November 1978,1 December 1978,1978
Simon Park,Eye Level,3 November 1972,1 January 1978,1977
John Travolta and Olivia Newton-John,You 're the One That I Want,1 May 1978,1 July 1978,1978
John Travolta and Olivia Newton-John,Summer Nights,1 September 1978,1 October 1978,1978
Village People,Y.M.C.A,1 November 1978,1 January 1979,1979
Blondie,Heart of Glass,19 January 1979,1 February 1979,1979
Art Garfunkel,Bright Eyes,9 January 1979,1 May 1979,1979
Pink Floyd,Another Brick in the Wall ( Part II ),23 November 1979,1 January 1980,2004-10
Slade,Merry Xmas Everybody,7 December 1973,1 December 1980,1985
The New Seekers,I 'd Like to Teach the World to Sing ( In Perfect Harmony ),11 December 1971,-,2004-10
ABBA,Dancing Queen,6 August 1976,-,2004-10
Julie Covington,Do n't Cry for Me Argentina,12 November 1976,-,2004-10
Ian Dury and The Blockheads,Hit Me with Your Rhythm Stick,1 November 1978,-,2004-10
