Date,Guest Co-Host,Guests/Segments
December 1,Neil Patrick Harris,"Marcia Cross , Science Bob"
December 2,Neil Patrick Harris,"Maya Rudolph , Matt Czuchry"
December 5,Derek Hough,"Jeffrey Donovan , Elizabeth Olsen , LIVE 's Holiday Feast Week"
December 6,Jonah Hill,"Sarah Jessica Parker , Emily VanCamp , LIVE 's Holiday Feast Week"
December 7,Josh Groban,"Zac Efron , LIVE 's Holiday Feast Week"
December 8,Josh Groban,"Jessica Biel , LIVE 's Holiday Feast Week"
December 9,Josh Groban,"Charlize Theron , Abigail Breslin , Cody Simpson , LIVE 's Holiday Feast Week"
December 12,Taye Diggs,"David Hyde Pierce , The Amazing Race Winners , Holiday Gift Guide - Chris Byrne"
December 13,Kevin Jonas,"Michelle Pfeiffer , Anthony Hamilton , Holiday Gift Guide - Matt Bean"
December 14,Bryant Gumbel,"Jude Law , The Biggest Loser Winner , Rachel Crow , Holiday Gift Guide - Lawrence Zarian"
December 15,Michael Bublé,"Robert Downey , Jr. , Lady Antebellum , Holiday Gift Guide - David Pogue"
December 16,Michael Bublé,"Daniel Craig , Holiday Gift Guide - Kelly"
December 19,Mark Consuelos,"Rooney Mara , Disney on Ice , Lady Antebellum"
December 20,Mark Consuelos,"LIVE 's Home for the Holidays Special , Scarlett Johansson , Radio City Rockettes , Joaquin Consuelos , Voca People"
December 23,Mark Consuelos,LIVE 's Holiday Memories Special
