Cathedral,Archdiocese or Diocese,Location,Dedication,Notes
Agde Cathedral Cathédrale Saint-Étienne d'Agde,Montpellier,Agde,Saint Stephen,former cathedral ( bishopric suppressed in 1801 )
Agen Cathedral Cathédrale Saint-Caprais d'Agen,Agen,Agen,Saint Caprasius,cathedral ; World Heritage Site
Aire Cathedral Cathédrale Saint-Jean-Baptiste d'Aire,Aire et Dax,Aire-sur-l'Adour,Saint John the Baptist,cathedral
Aix Cathedral Cathédrale Saint-Sauveur d'Aix,Aix,Aix-en-Provence,Holy Saviour,"cathedral , minor basilica"
Ajaccio Cathedral Cathédrale Notre-Dame-de-l'Assomption d'Ajaccio,Ajaccio,Ajaccio,Assumption of the Blessed Virgin Mary,cathedral
Albi Cathedral Cathédrale Sainte-Cécile d'Albi,Albi,Albi,Saint Cecilia,"cathedral , minor basilica"
Alès Cathedral Cathédrale Saint-Jean-Baptiste d'Alès,Nîmes,Alès,Saint John the Baptist,former cathedral ( bishopric suppressed in 1801 )
Alet Cathedral Cathédrale Notre-Dame d'Alet,Carcassonne et Narbonne,Alet-les-Bains,Blessed Virgin Mary,former cathedral ruins ( ruined in 1577 and finally demolished in 1776 ; bishopric suppressed in 1801 )
Aleth Cathedral Cathédrale Saint-Pierre d'Aleth,Rennes,Saint-Servan,Saint Peter,former cathedral ruins ( replaced by Saint-Malo Cathedral in 1146 and destroyed in 1255 )
Amiens Cathedral Cathédrale Notre-Dame d'Amiens,Amiens,Amiens,Blessed Virgin Mary,"cathedral , minor basilica ; World Heritage Site"
Angers Cathedral Cathédrale Saint-Maurice d'Angers,Angers,Angers,Saint Maurice,cathedral
Angoulême Cathedral Cathédrale Saint-Pierre d'Angoulême,Angoulême,Angoulême,Saint Peter,cathedral
Annecy Cathedral Cathédrale Saint-Pierre d'Annecy,Annecy,Annecy,Saint Peter,cathedral
Antibes Cathedral Cathédrale Notre-Dame-de-la-Platea d'Antibes,Nice,Antibes,Blessed Virgin Mary Notre-Dame de la Platéa,former cathedral ( bishopric suppressed in 1801 )
Apt Cathedral Cathédrale Sainte-Anne d'Apt,Avignon,Apt,Saint Ann,former cathedral ( bishopric suppressed in 1801 )
"Arles Cathedral , now Church of St. Trophime , Arles Cathédrale Saint-Trophime d'Arles",Aix,Arles,Saint Trophimus,former cathedral ( archbishopric suppressed in 1822 ) ; minor basilica
Arras Cathedral Cathédrale Notre-Dame-et-Saint-Vaast d'Arras,Arras,Arras,Blessed Virgin Mary and Saint Vedast,"cathedral , minor basilica"
Auch Cathedral Cathédrale Sainte-Marie d'Auch,Auch,Auch,Saint Mary,"cathedral , minor basilica ; World Heritage Site"
Autun Cathedral Cathédrale Saint-Lazare d'Autun,Autun,Autun,Saint Lazarus of Aix,"cathedral ( built in the 12th century ) , minor basilica"
Old Autun Cathedral Cathedrale Saint-Nazaire d'Autun,Autun,Autun,Saint Nazarius,"former cathedral , 5th-12th centuries"
