Venue,Sports,Capacity
Barkarby,Modern pentathlon ( riding ),Not listed
Djurgårdsbrunnsviken,"Diving , Modern pentathlon ( swimming ) , Rowing , Swimming , Water polo",Not listed
Fältrittklubben,Equestrian ( eventing endurance ),Not listed
Kaknäs,Modern pentathlon ( shooting ),Not listed
Liljeholmen,"Cycling , Equestrian",Not listed
Lindarängen,Equestrian ( eventing steeplechase ),Not listed
Mälaren,Cycling,Not listed
Nynäshamn,Sailing,Not listed
Östermalm Athletic Grounds,"Equestrian , Fencing , Modern pentathlon ( fencing ) , Tennis",Not listed
Råsunda IP,"Football , Shooting",Not listed
Stockholm Olympic Stadium,"Athletics , Equestrian , Football ( football ) , Gymnastics , Modern pentathlon ( running ) , Tug of war , Wrestling","33,000"
Tranebergs Idrottsplats,Football,Not listed
