Team,Location,Venue,Capacity,Position in 2010
BATE,Borisov,City Stadium,"5,402",1
Belshina,Bobruisk,Spartak Stadium ( Bobruisk ),"3,700",6
Dinamo Brest,Brest,OSK Brestskiy,"10,060",5
Dinamo Minsk,Minsk,Dinamo-Yuni Stadium,"4,500",4
Dnepr,Mogilev,Spartak Stadium ( Mogilev ),"7,350",8
Gomel,Gomel,Central Stadium,"14,307","First League , 1"
Minsk,Minsk,Torpedo Stadium ( Minsk ),"5,200",3
Naftan,Novopolotsk,Atlant Stadium,"4,500",7
Neman,Grodno,Neman Stadium,"8,500",10
Shakhtyor,Soligorsk,Stroitel Stadium,"4,200",2
Torpedo-BelAZ,Zhodino,Torpedo Stadium ( Zhodino ),"3,020",11
Vitebsk,Vitebsk,Vitebsky CSK,"8,350",9
