Year,Name,Rule
1904,Windermere 17s,
1906,6.5 Metre,Jauge chemin de fer
1907,12 Metre,International rule
1907,15 Metre,International rule
1907,19 Metre,International rule
1907,23 Metre,International rule
1907,6 Metre,International rule
1907,7 Metre,International rule
1907,8 Metre,International rule
1908,22m² Skerry cruiser,Square meter rule
1908,30m² Skerry cruiser,Square meter rule
1908,45m² Skerry cruiser,Square meter rule
1908,55m² Skerry cruiser,Square meter rule
1912,38m² Skerry cruiser,Square meter rule
1913,15m² Skerry cruiser,Square meter rule
1913,75m² Skerry cruiser,Square meter rule
1913,95m² Skerry cruiser,Square meter rule
1913,120m² Skerry cruiser,Square meter rule
1913,150m² Skerry cruiser,Square meter rule
1913,40m² Skerry cruiser,Square meter rule
