Title / Individual Commemorated,Location,Date,Sculptor/ Designer
Adolfo López Mateos,"Plaza Mexico , Intramuros",,Luis Antonio Sanguino
Alexander Pushkin,"Mehan Garden , Ermita",2010,Grigory Potosky
Andres Bonifacio,Ermita,1998,Eduardo Castrillo
"Andrés de Urdaneta , Miguel López de Legazpi",Intramuros,1893,Agustí Querol Subirats
Arch of the Centuries,"Plaza Intramuros , Sampaloc",1611,
Arsenio Lacson,"Plaza Lacson , Santa Cruz",2003,
"Benigno Aquino , Jr","Rizal Park , Ermita",2010,Eduardo Castrillo
Cayetano Arellano,"Supreme Court Building , Ermita",2003,Julie Lluch
Chino Roces,"Mendiola Street , San Miguel",,Florante Caedo
Confucius,"Rizal Park , Ermita",2009,
Corazon Aquino,"Rizal Park , Ermita",2010,Eduardo Castrillo
Dom Justo Takayama,"Plaza Dilao , Paco",,
Elpidio Quirino,Malate,1994,
Felipe Calderón,"Plaza Felipe Calderón , Santa Ana",1954,
Francisco Carriedo Fountain,"Plaza Santa Cruz , Santa Cruz",1882,
"Gomburza Mariano Gómez , José Burgos , Jacinto Zamora","Fort Santiago , Intramuros",,
Jaime Sin,"Rizal Park , Ermita",2012,Shin Yanmin
José Abad Santos,"Supreme Court Building , Ermita",2003,Julie Lluch
José P. Laurel,Ermita,,
José Martí,Intramuros,2001,Alberto Lescay
