Frequency,Call sign,Genre,Branding,Owner,Notes
88.3,KPGB,Religious,-,Faith Baptist Church,Broadcasts out of Pryor
89.3,KLMT,Christian,Pilgrim Radio,"Western Inspirational Broadcasters , Inc",-
90.9,KLRV,Contemporary Christian,K-LOVE Radio,Educational Media Foundation,-
91.7,KEMC,News / Talk / Variety,Yellowstone Public Radio,Montana State University Billings,-
94.1,KRKX,Country,94.1 K-SKY,Connoisseur Media,-
95.5,KCHH,News/Talk,News Radio 95,"Townsquare Media Billings License , LLC",-
96.3,KRZN,Modern rock,The Zone,Connoisseur Media,-
97.1,KKBR,Contemporary Hit radio,K-Bear,"Townsquare Media Billings License , LLC",-
98.5,KEWF,Country,98.5 The Wolf,"Radio Billings , LLC",-
101.9,KRSQ,Contemporary hit radio,Hot 101.9,"Radio Billings , LLC",-
102.9,KCTR,Country,Cat Country,"Townsquare Media Billings License , LLC",-
103.7,KMHK,Classic rock,The New 103.7 The Hawk,"Townsquare Media Billings License , LLC",-
105.1,KYSX,Country,Twang 105.1,"Bmg Billings , LLC",-
105.9,KWMY,Classic hits,My 105.9,Connoisseur Media,-
106.7,KPLN,Modern hits,The Planet 106.7,Connoisseur Media,-
107.5,KRPM,Adult Contemporary,Magic 107.5,"Radio Billings , LLC",-
