Site,Municipality,Ref
Songakuma Kofun 損ヶ熊古墳 Songakuma kofun,Miyawaka,[ 8 ]
Fukuju-ji 広寿山福聚寺 Kōjusan Fukujuji,Kitakyūshū,[ 9 ]
Ainoshima Watch Tower Banner Supports 藍島 遠見番所旗柱台 Ainoshima tōmi bansho hata bashiradai,Kitakyūshū,[ 10 ]
Shigetome Site 重留遺跡 Shigetome iseki,Kitakyūshū,[ 11 ]
Motookaurio Shell Mound 元岡瓜尾貝塚 Motookaurio kaizuka,Fukuoka,[ 12 ]
Hie Circular Dwelling Site 比恵環溝住居遺跡 Hie kankō jūkyo iseki,Fukuoka,[ 13 ]
Miyazaki Yasuda Grave and Study 宮崎安貞 墓附宮崎安貞書斎一棟 Miyazaki Yasuda haka tsuketari Miyazaki Yasuda shosai ittō,Fukuoka,[ 14 ]
"Kamei Family Graves 亀井 （ 南冥 、 昭陽 ）家の墓 Kamei ( Nanmei , Shōyō ) -ke no haka",Fukuoka,[ 15 ]
"Karenozuka 枯野塚附哺川墓、句碑、寄附碑 Karenozuka tsuketari Hosen-no-haka , kuhi , kifu-hi",Fukuoka,[ 16 ]
Gionyama Kofun 祇園山古墳 Gionyama kofun,Kurume,[ 17 ]
Maehata Kofun 前畑古墳 Maehata kofun,Kurume,[ 18 ]
Hosshin Castle Site 発心城 跡 Hosshin-jō ato,Kurume,[ 19 ]
Andō Seian Grave 安東省庵 墓 Andō Seian no haka,Yanagawa,[ 20 ]
Kurume Castle Site 久留米城 跡 Kurume-jō ato,Kurume,[ 21 ]
Banzuka Kofun 番塚古墳 Banzuka kofun,Kanda,[ 22 ]
Kitahara Hakushū Residence 北原白秋生家 Kitahara Hakushū seika,Yanagawa,[ 23 ]
Ikata Kofun 伊方古墳 Ikata kofun,Fukuchi,[ 24 ]
Mizumachi Sites 水町遺跡群 Mizumachi iseki-gun,Nōgata,[ 25 ]
Kawashima Kofun 川島古墳 Kawashima kofun,Iizuka,[ 26 ]
Sesudono Kofun セスドノ古墳 Sesudono kofun,Tagawa,[ 27 ]
