Designer,Age,Hometown,Place of Residence,Place Finished
Emily Pollard,24,"Richfield , Ohio","Falls Church , Virginia",16th
James Martinez,29,"Dallas , Texas","Fort Worth , Texas",15th
Cindy Marlatt,59,"Kent , Washington","Kent , Washington",14th
Joseph Aaron Segal,30,"Framingham , Massachusetts","Providence , Rhode Island",13th
Matthew Arthur,30,"Hammond , Louisiana","New Orleans , Louisiana",12th
Benjamin Mach,35,"Sydney , Australia","London , England",11th
Tu Suthiwat Nakchat,26,"Chachoengsao , Thailand","Springfield , Virginia",10th
Kate Pankoke,23,"Eau Claire , Wisconsin","Chicago , Illinois",9th
Amanda Valentine,31,"Lincoln , Nebraska","Nashville , Tennessee",8th
Samantha Black,28,"Bronx , New York","Fairfield , Connecticut",7th
Richard Hallmarq,39,"Sacramento , California","Sacramento , California",6th
Layana Aguilar,28,"Governador Valadares , Brazil","New York City , New York",5th
Daniel Esquivel,49,"Dallas , Texas","Austin , Texas",4th
Stanley Hudson,45,"Lynwood , California","West Hollywood , California",3rd
Patricia Michaels,46,"Taos , New Mexico","Taos , New Mexico",Runner-Up
Michelle Lesniak Franklin,34,"Portland , Oregon","Portland , Oregon",Winner
