State,Signed,In Force,Notes,Relations
Akrotiri and Dhekelia,2003,2004,Customs union,
Albania,2006,2009,SAA,Candidate for EU accession
Algeria,2002,2005,Euro-mediterranean AA,
Andorra,1990,1991,Customs union,Andorra-EU relations
Bosnia and Herzegovina,2008,2015,SAA,Potential candidate for EU accession
Chile,2002,2005,AA,
Egypt,2001,2004,Euro-mediterranean AA,
Faroe Islands,1996,1997,Autonomous entity of Denmark,Faroe Islands-EU relations
Georgia,2014,2016,AA incl DCFTA,Georgia-EU relations
Bailiwick of Guernsey,1972,1973,Customs union,
Iceland,1992,1994,EEA,Iceland-EU relations
Isle of Man,1972,1973,Customs union,
Israel,1995,2000,Euro-Mediterranean AA,Israel-EU relations
Japan,2018,2019,Economic Partnership Agreement,Japan-EU relations
Bailiwick of Jersey,1972,1973,Customs union,
Jordan,1997,2002,Euro-Mediterranean AA,Jordan-EU relations
Kosovo,2015,2016,SAA,Kosovo-EU relations
Lebanon,2002,2006,Euro-Mediterranean AA,Lebanon-EU relations
Liechtenstein,1992,1995,EEA,Liechtenstein-EU relations
Mexico,1997,2000,FTA,Mexico-EU relations
