Edition ( year ),Date,Venue,City,Presenter
1st ( 1988 ),26 Nov. 1988,Theater des Westens,West Berlin,"Jan Niklas , Désirée Nosbusch"
2nd ( 1989 ),25 Nov. 1989,Théâtre des Champs-Elysées,Paris,"Fernando Rey , Agnès Soral"
3rd ( 1990 ),2 Dec. 1990,Royal Concert Hall,Glasgow,"Sheena McDonald , Melvyn Bragg"
4th ( 1991 ),1 Dec. 1991,Babelsberg,Potsdam,"Désirée Nosbusch-Becker , Johannes Willms"
5th ( 1992 ),25 Nov. 1992,Babelsberg,Potsdam,"Senta Berger , Ben Kingsley"
6th ( 1993 ),4 Dec. 1993,Babelsberg,Potsdam,Fanny Ardant
7th ( 1994 ),27 Nov. 1994,Spiegelzelt,Berlin,-
8th ( 1995 ),12 Nov. 1995,Bar jeder Vernunft,Berlin,-
9th ( 1996 ),8 Nov. 1996,Blue Tent in Lützowplatz,Berlin,-
10th ( 1997 ),7 Dec. 1997,Flughafen Tempelhof,Berlin,Tania Bryer
11th ( 1998 ),4 Dec. 1998,Old Vic Theatre,London,"Mel Smith , Carole Bouquet"
12th ( 1999 ),4 Dec. 1999,Schiller Theater,Berlin,"Mel Smith , Carole Bouquet"
13th ( 2000 ),2 Dec. 2000,Chaillot National Theatre,Paris,"Rupert Everett , Antoine de Caunes"
14th ( 2001 ),1 Dec. 2001,Tempodrom,Berlin,Mel Smith
15th ( 2002 ),7 Dec. 2002,Rome Opera House,Rome,"Asia Argento , Mel Smith"
16th ( 2003 ),6 Dec. 2003,Treptow Arena,Berlin,Heino Ferch
17th ( 2004 ),11 Dec. 2004,Forum Convention Center,Barcelona,"Maria de Medeiros , Juanjo Puigcorbé"
18th ( 2005 ),3 Dec. 2005,Treptow Arena,Berlin,Heino Ferch
19th ( 2006 ),2 Dec. 2006,EXPO XXI Center,Warsaw,"Maciej Stuhr , Sophie Marceau"
20th ( 2007 ),1 Dec. 2007,Treptow Arena,Berlin,"Jan Josef Liefers , Emmanuelle Béart"
