Name,Year,Max Players,Description
T-Mek,1994,"4 , simultaneous",A 3D vehicular combat game where players must defeat their opponents while piloting a MEK vehicle
Tank,1974,"2 , simultaneous",An early tank combat game
Tank II,1975,"2 , simultaneous",The sequel to Tank
Tank 8,1976,"8 , simultaneous",An 8-player version of Tank . Also the first Atari game to use a CPU
Tempest,1980,"2 , alternating","Players control a crab-shaped ship and must destroy incoming enemies which slide down tunnels towards them . A very successful game for Atari , Tempest was one of the first games to feature color vector graphics"
Tenth Degree,1996,"2 , simultaneous","Unreleased one-on-one fighting game with the 3D characters modeled in an anime style . Similar to other one-on-one fighting games of the time , such as Tekken and SoulCalibur"
Tetris,1988,"2 , simultaneous","One of the most popular video games of all time in all media combined , Tetris is a puzzle game where players try to stack differently shaped blocks into solid rows"
ThunderJaws,1990,"2 , simultaneous",The player is an elite underwater special agent tasked to infiltrate Madam Q 's headquarters and stop her nefarious plans
Tomcat,1983,1,An unreleased and unfinished flight combat game where the player controls a F-14 Tomcat
Toobin ',1988,"2 , simultaneous","A popular game for Atari . Up to two players paddle down a stream full of rapids and other obstacles , including targets to toss cans at"
Touch Me,1974,"4 , simultaneous",A timing/pattern game similar to the popular electronic game Simon . Later converted into a handheld electronic game
Tournament Cyberball 2072,1989,"4 , simultaneous",Players compete against each other or the computer in a football game played by robots . Winners receive money to upgrade their robots
Tournament Table,1978,"4 , simultaneous",Features a number of selectable and graphically similar simple games ( such as Pong and Soccer ) . For one to four players
Triple Hunt,1977,1,A black and white hunting video game
