Issue,Cover model,Photographer
January,Jewel,Steven Meisel
February,Stella Tennant,Steven Meisel
March,Carolyn Murphy,Steven Meisel
April,Maggie Rizer Kate Moss,Steven Meisel
May,Carmen Kass,Steven Meisel
June,Nicole Kidman,Steven Meisel
July,Gisele Bündchen,Steven Meisel
August,Carolyn Murphy,Steven Meisel
September,Gwyneth Paltrow,Steven Meisel
October,Winona Ryder,Steven Meisel
November,Kate Moss Gisele Bündchen Lauren Hutton Iman Naomi Campbell Stephanie Seymour Amber Valletta Christy Turlington Claudia Schiffer Lisa Taylor Paulina Porizkova Carolyn Murphy Patti Hansen,Annie Leibovitz
December,Gisele Bündchen,Steven Meisel
