Year,Song title,Artist,North American version,European version,UK/NL/Australian version
1970,All Right Now,Free,1970s,1970s,1970s
1980,Any Way You Want It,Journey,1980s,N/A,1980s
1993,Are You Gon na Go My Way,Lenny Kravitz,1990s,1990s,1990s
1994,Buddy Holly,Weezer,1990s,1990s,1990s
2003,Ca n't Stop,Red Hot Chili Peppers,2000s,2000s,2000s
2007,Crushcrushcrush,Paramore,Modern,N/A,Modern
2005,Dirty Little Secret,All-American Rejects The All-American Rejects,Modern,N/A,N/A
2006,Diventerai Una Star,Finley,N/A,Modern,N/A
1999,Down,Stone Temple Pilots,1990s ( encore ),1990s,1990s
2007,Estrella Polar,Pereza,N/A,Modern,N/A
2004,Everything is Everything,Phoenix,N/A,2000s,Bonus
1982,Eye of the Tiger,Survivor,N/A,1980s,1980s
1972,Free Ride,Edgar Winter Group,1970s,1970s,1970s
2003,I Believe in a Thing Called Love,Darkness The Darkness,2000s ( encore ),Bonus,2000s ( encore )
1984,I Ca n't Drive 55,Sammy Hagar,1980s,N/A,N/A
1987,La Bamba,Los Lobos,1980s,1980s,1980s
2001,The Middle,Jimmy Eat World,2000s,2000s,2000s
1992,No Rain,Blind Melon,1990s,1990s,1990s
2000,One Step Closer,Linkin Park,2000s,2000s,2000s
1987,The One I Love,R.E.M,1980s,1980s,1980s
