Team,Sponsor,Kit maker,Team captain,Head coach
Army United,Chang,Pan,Wanchana Rattana,Adul Rungruang
Bangkok Glass,Leo Beer,Umbro,Amnaj Kaewkiew,Arjhan Srong-ngamsub
BEC Tero Sasana,3K Battery,FBT,Teeratep Winothai,Phayong Khunnaen
Buriram United,Chang,,Apichet Puttan,Attaphol Buspakom
Chiangrai United,Leo Beer,Deffo,Sanya Puangchan,Stefano Cugurra 'Teco '
Chonburi,Chang,FBT,Pipob On-Mo,Witthaya Laohakul
Khon Kaen,3K Battery,Kool Sport,Rermrat Ngam-Chareon,Pichet Supomuang
Muangthong United,Yamaha,Grand Sport,Nattaporn Phanrit,Robbie Fowler
Osotspa M-150 Saraburi,M-150,Grand Sport,Jetsada Puanakunmee,Pairoj Borwonwattanadirok
Pattaya United,True,Grand Sport,Niweat Siriwong,Chalermwoot Sa-Ngapol
Police United,Insee Cement,Kela,Krissadee Prakobkong,Thawatchai Damrong-Ongtrakul
Siam Navy,Arcus,Kappa,Jetsada Ngam-muang,Worakorn Wijannarong
Samut Songkhram,SCG,FBT,Panuwat Yimsa-ngar,Vorawan Chitavanich
Sisaket Muangthai,Muang Thai,FBT,Wuttichai Tathong,Royter Moreira
Sriracha,Suzuki,FBT,Sujarit Jantakon,Dusit Chalermsan
Thai Port,FB Battery,,Itthipol Nonsiri,Thongchai Sukkokee
TOT S.C,TOT,Kela,Patiparn Phetphun,Somchai Subpherm
TTM Phichit,,FBT,Jetsada Boonruangrod,Lee Young-Moo
