China Rank,Name,Net worth ( USD ),Sources of wealth,Age,Global Rank 2013
1,Zong Qinghou,$ 10 billion,Wahaha,67,86
2,Robin Li,$ 8.1 billion,Baidu,44,172
3,Wang Jianlin,$ 8 billion,Dalian Wanda Group,58,128
4,Ma Huateng,$ 6.4 billion,Tencent,41,173
5,Wu Yajun,$ 6.2 billion,Longfor Properties,49,299
6,Liang Wengen,$ 5.9 billion,Sany,56,158
7,Liu Yongxing,$ 5.8 billion,Hope Group,65,198
8,Xu Jiayin,$ 4.9 billion,Evergrande Group,54,209
9,Yang Huiyan,$ 4.4 billion,Country Garden Holdings,31,211
10,Xu Rongmao,$ 4 billion,Shimao Property,63,262
11,Jack Ma,$ 3.4 billion,Alibaba Group,48,395
12,He Xiangjian,$ 3.3 billion,Midea Group,70,262
13,Zhang Jindong,$ 3.2 billion,Suning Appliance,50,412
14,Sun Guangxin,$ 3.1 billion,Xinjiang Guanghui Industry,50,329
15,William Ding,$ 2.95 billion,Netease,41,458
