,Name on the Register,Date listed,Location,City or town
1,Ardoyne Plantation House,"November 1 , 1982 ( # 82000469 )",Northwest of Houma on Louisiana Highway 311 29°38′57″N 90°49′10″W / 29.649167°N 90.819444°W / 29.649167 ; -90.819444 ( Ardoyne Plantation House ),Houma
2,Argyle,"July 1 , 1994 ( # 94000657 )",3313 Bayou Black Dr. 29°34′22″N 90°45′04″W / 29.572778°N 90.751111°W / 29.572778 ; -90.751111 ( Argyle ),Houma
3,Armitage,"April 12 , 1984 ( # 84001366 )",Louisiana Highway 20 and Colonial Dr. 29°45′51″N 90°48′59″W / 29.764167°N 90.816389°W / 29.764167 ; -90.816389 ( Armitage ),Schriever
4,Herman Albert Cook House,"February 24 , 1995 ( # 95000107 )",515 W. Main St. 29°35′49″N 90°43′44″W / 29.596944°N 90.728889°W / 29.596944 ; -90.728889 ( Herman Albert Cook House ),Houma
5,Ducros Plantation,"November 7 , 1985 ( # 85002759 )",Louisiana Highway 20 29°45′13″N 90°49′05″W / 29.753611°N 90.818056°W / 29.753611 ; -90.818056 ( Ducros Plantation ),Schriever
6,Fifth District High School,"June 18 , 2018 ( # 100002590 )",918 Roussell St. 29°35′30″N 90°43′18″W / 29.5916°N 90.7218°W / 29.5916 ; -90.7218 ( Fifth District High School ),Houma
7,Gibson Methodist Episcopal Church,"May 8 , 1986 ( # 86001032 )",S. Bayou Black Dr. 29°41′06″N 90°59′16″W / 29.685°N 90.987778°W / 29.685 ; -90.987778 ( Gibson Methodist Episcopal Church ),Gibson
8,Houma Elementary School,"June 15 , 2015 ( # 15000347 )",711 Grinage St. 29°35′33″N 90°43′26″W / 29.5926°N 90.7239°W / 29.5926 ; -90.7239 ( Houma Elementary School ),Houma
9,Houma Historic District,"December 8 , 1983 ( # 83003640 )","Roughly bounded by E. Park Ave. and Main , Canal , Lafayette , Academy , High , Roussell , and Barrow Sts . ; also 7717 , 7719 , 7725 , 7801-09 , 7815-17 , 7819 W. Main , 407 , 425 , 507 Rousell , 7910 , 7932 , 7936 , 7942 W. Park Ave. 30°29′49″N 90°42′06″W / 30.496944°N 90.701667°W / 30.496944 ; -90.701667 ( Houma Historic District )",Houma
10,Magnolia,"August 4 , 1983 ( # 83000548 )",Louisiana Highway 311 29°42′53″N 90°49′08″W / 29.714722°N 90.818889°W / 29.714722 ; -90.818889 ( Magnolia ),Schriever
11,Montegut School,"October 7 , 1993 ( # 93001036 )",1137 Louisiana Highway 55 29°28′39″N 90°33′20″W / 29.4775°N 90.555556°W / 29.4775 ; -90.555556 ( Montegut School ),Montegut
12,Orange Grove Plantation House,"March 26 , 1980 ( # 80001764 )",West of Houma on U.S. Route 90 29°35′19″N 90°49′23″W / 29.588611°N 90.823056°W / 29.588611 ; -90.823056 ( Orange Grove Plantation House ),Houma
13,Polmer Store,"May 30 , 1996 ( # 96000607 )",1849 Louisiana Highway 311 29°38′32″N 90°48′50″W / 29.642222°N 90.813889°W / 29.642222 ; -90.813889 ( Polmer Store ),Schriever
14,S.S. R.M . Parker Jr. ( shipwreck and remains ),"December 7 , 2018 ( # 100002561 )",Address Restricted,Cocodrie vicinity
15,Residence Plantation House,"September 8 , 2001 ( # 01000943 )",8951 Park Ave. 29°35′53″N 90°41′21″W / 29.598056°N 90.689167°W / 29.598056 ; -90.689167 ( Residence Plantation House ),Houma
16,St. George Plantation House,"October 5 , 1982 ( # 82000470 )",Louisiana Highway 24 29°44′20″N 90°48′28″W / 29.738889°N 90.807778°W / 29.738889 ; -90.807778 ( St. George Plantation House ),Schriever
17,Clifford Percival Smith House,"April 20 , 1989 ( # 89000327 )",501 E. Park Ave. 29°35′59″N 90°43′08″W / 29.599722°N 90.718889°W / 29.599722 ; -90.718889 ( Clifford Percival Smith House ),Houma
18,Southdown Plantation,"January 18 , 1974 ( # 74002188 )",1 mile southwest of Houma on Louisiana Highway 311 29°35′17″N 90°43′52″W / 29.588056°N 90.731111°W / 29.588056 ; -90.731111 ( Southdown Plantation ),Houma
19,Wesley House,"August 11 , 1982 ( # 82002799 )",1210 E. Main St. 29°35′53″N 90°42′34″W / 29.598056°N 90.709444°W / 29.598056 ; -90.709444 ( Wesley House ),Houma
