Date from,Position,Name,To,Fee
1 July 2017,GK,Benjamin Büchel,Free agent,Released
1 July 2017,CB,Robbie Cundy,Gloucester City,Released
1 July 2017,CB,Chey Dunkley,Wigan Athletic,Free
1 July 2017,RM,Jonny Giles,Free agent,Released
1 July 2017,CF,Jordan Graham,Free agent,Released
1 July 2017,CM,Liam Sercombe,Bristol Rovers,Undisclosed
1 July 2017,LB,Joe Skarz,Bury,Mutual consent
1 July 2017,CB,Miles Welch-Hayes,Bath City,Released
20 July 2017,CF,Chris Maguire,Bury,Free
25 July 2017,CM,John Lundstram,Sheffield United,Undisclosed
31 August 2017,LM,Marvin Johnson,Middlesbrough,Undisclosed
22 November 2017,RB,Christian Ribeiro,Retired,N/A
30 January 2018,CM,Xemi Fernández,Free agent,Mutual consent
